Nº ,OBJETO ,CONTRATO,DIRETORIA RESPONSÁVEL,Unidade,CÓD. PAOE,DESCRIÇÃO DO ITEM DE DESPESA,UNIDADE DE MEDIDA,QTD,VALOR UNITÁRIO,VALOR TOTAL,GRUPO DE DESPESA,NATUREZA,FONTE,IDU,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A+B+C+D)
44,Contratacão de Ferramentas de Segurança analise Vulnerabilidade (Expansão),Novo a contratar 2024,DTIC,UGGDC,2787,Contratação de Ferramentas de Segurança analise Vulnerabilidade,Unidade,01,"R$ 2.800.000,00","R$ 2.800.000,00",3-DESPESAS CORRENTES,3.3.90.40.014,1.500.0000,MAIS MT,4,3,3,4,144
45,Contratação de Ferramentas de Segurança analise Vulnerabilidade (Expansão),Novo a contratar 2024,DTIC,UGGDC,2787,Contratação de Serviços para Ferramentas de Segurança em analise Vulnerabilidade,Unidade,1500,"R$ 650,00","R$ 975.000,00",3-DESPESAS CORRENTES,3.3.90.40.014,1.500.0000,MAIS MT,4,3,3,4,144
46,Contratação de Solução de gerenciamento de Identidades e acessos privilegiados (Expansão),Novo a contratar 2024,DTIC,UGGDC,2787,Contratação de Solução de gerenciamento de Identidades e acessos privilegiados,Unidade,01,"R$ 2.500.000,00","R$ 2.500.000,00",4-DESPESAS DE CAPITAL,4.4.90.40.014,1.500.0000,MAIS MT,4,3,3,4,144
47,Contratação de Solução de gerenciamento de Identidades e acessos privilegiados (Expansão),Novo a contratar 2024,DTIC,UGGDC,2787,Contratação de Serviços para Solução de gerenciamento de Identidades e acessos privilegiados,Unidade,1500,"R$ 380,00","R$ 570.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,4,3,3,4,144
05,AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA PARA ATENDER AS DEMANDAS SETORIAIS DA MTI,Novo a contratar 2024,DTIC,UGSTI/GSUP,2009,"Aquisição de computadores, notebooks e monitores para atender a MTI",Unidade,01,"R$ 200.000,00","R$ 200.000,00",4-DESPESAS DE CAPITAL,4.4.90.52.014,1.501.0000,OD-OUTRAS DESPESAS,5,3,3,3,135
08,AQUISIÇÃO MANUTENÇÃO DE SOLUÇÃO CORPORATIVA DE CONECTIVIDADE POR REDE SEM FIO,Existente / Aditivo,DTIC,UGSTI/GSUP,2009,"Aquisição de manutenção de equipamentos de
solução profissional de rede sem fio",Unidade,01,"R$ 200.000,00","R$ 200.000,00",3-DESPESAS CORRENTES,32935,1.501.0000,CD-CONTRATOS DIVERSOS,3,3,3,5,135
27,"Contratação de empresa especializada para o fornecimento de futuros e eventuais serviços especializados e Renovação de Subscrições em produtos das plataformas Red Hat Enterprise, JBOSS Enterprise Middleware e Red Hat Openshift e fornecimento de software da mesma linha de produtos",Existente / Aditivo,DTIC,UGITI,2787,Serviços Especializados RedHat,Unidade,850,"R$ 820,00","R$ 697.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,3,3,3,135
38,Registro de Preços para Aquisição de Certificados SSL,Novo a contratar 2024,DTIC,UGITI,2787,Aquisição de Certificados SSL,Unidade,1000,"R$ 800,00","R$ 800.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.501.0000,OD-OUTRAS DESPESAS,5,3,3,3,135
43,Contratação de empresa especializada para provimento de serviços em Nuvem Pública(ABEP),Novo a contratar 2024,DTIC,UGITI,2787,Contratação de empresa especializada para provimento de serviços em Nuvem Pública,Mensal,12,"R$ 1.300.000,00","R$ 15.600.000,00",3-DESPESAS CORRENTES,3.3.90.40.012,1.501.0000,OD-OUTRAS DESPESAS,5,3,3,3,135
48,"Contratação de empresa especializada para o fornecimento de licenças de Solução de “Application Performance Management” (APM), com monitoramento de experiência de usuário (sessões ou pageviews) com suporte e garantia por um período de 36 (trinta e seis) meses, incluindo prestação dos serviços técnicos, implantação e treinamento oficial (Expansão)",Novo a contratar 2024,DTIC,UGITI,2787,Contratação de solução de APM,Unidade,01,"R$ 3.800.000,00","R$ 3.800.000,00",4-DESPESAS DE CAPITAL,4.4.90.40.014,1.500.0000,MAIS MT,5,3,3,3,135
49,"Contratação de empresa especializada para o fornecimento de licenças de Solução de “Application Performance Management” (APM), com monitoramento de experiência de usuário (sessões ou pageviews) com suporte e garantia por um período de 36 (trinta e seis) meses, incluindo prestação dos serviços técnicos, implantação e treinamento oficial",Existente / Aditivo,DTIC,UGITI,2787,Contratação de seviços especializados para solução de APM,Unidade,600,"R$ 850,00","R$ 510.000,00",3-DESPESAS CORRENTES,3.3.90.40,1.500.0000,MAIS MT,5,3,3,3,135
52,Contratação de empresa especializada na prestação de serviços de operação continuada e sob demanda para soluções de hospedagem de aplicações,Novo a contratar 2024,DTIC,UGITI,2787,Contratação de empresa especializada na prestação de serviços de operação continuada e sob demanda para soluções de hospedagem de aplicações,Mensal,12,"R$ 300.000,00","R$ 3.600.000,00",3-DESPESAS CORRENTES,3.3.90.40.001,1.759.0000,OD-OUTRAS DESPESAS,5,3,3,3,135
13,AQUISIÇÃO DE SOLUÇÃO DE VIRTUALIZAÇÃO DE ESTAÇÕES DE TRABALHO (VDI) PARA ATENDER AS DEMANDAS DA MTI,Novo a contratar 2024,DTIC,UGSTI,2009,Aquisição de solução para virtualização de estações de trabalho (VDI) para atender aos empregados da MTI em suas atividades diárias,Unidade,01,"R$ 1.500.000,00","R$ 1.500.000,00",4-DESPESAS DE CAPITAL,4.4.90.52.014,1.501.0000,OD-OUTRAS DESPESAS,4,3,3,3,108
50,Aquisição de solução de Armazenametno dedidado à retenção de backups  IBM Data Domain,Novo a contratar 2024,DTIC,UGITI,2787,Aquisição de Solução de retenção de backups Data Domain para Disaster Recovery em site secundário,Unidade,02,"R$ 1.600.000,00","R$ 3.200.000,00",4-DESPESAS DE CAPITAL,4.4.90.40,1.501.0000,OD-OUTRAS DESPESAS,4,3,3,3,108
02,Contratação de empresa especializada em locação de veículos automotores para uso nas atividades técnicas e administrativas para a Empresa Mato-grossense de Tecnologia da Informação - MTI ,Existente / Aditivo,DAFI,UGADM,2006,Despesa com Aluguel de veículos ,Mensal,12,"R$ 10.000,00","R$ 120.000,00",3-DESPESAS CORRENTES,3.3.90.30.004,1.501.0000,CD-CONTRATOS DIVERSOS,3,3,3,3,81
53,Contratação de solução de analise vulnerabilidade de código,Novo a contratar 2024,DTIC,UGGDC,2787,Contratação de Ferramentas de Segurança analise vulnerabilidade de código,Unidade,01,"R$ 4.000.000,00","R$ 4.000.000,00",3-DESPESAS CORRENTES,3.3.90.40.014,1.500.0000,CD-CONTRATOS DIVERSOS,3,3,3,3,81
54,Contratação de Serviço Especialazado de Analise Vulnerabilidade de Código,Novo a contratar 2024,DTIC,UGGDC,2787,Contratação de Serviços Especializado em analise vulnerabilidade de código,Unidade,1600,"R$ 650,00","R$ 1.040.000,00",3-DESPESAS CORRENTES,3.3.90.40.014,1.500.0000,CD-CONTRATOS DIVERSOS,3,3,3,3,81
00,,,,,NOVA 4,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,NOVA 4,,,,,"R$ 0,00",,,,,,,,,0
01,MANUTENÇÃO DA PROPAGANDA E PUBLICIDADE INSTITUCIONAL,Novo a contratar 2024,GADP,ASSCOM,2014,SERVIIÇOS DE TERCEIROS PARA PUBLICIDADE INSTITUCIONAL E PROPAGANDA,Unidade,01,"R$ 73.500,00","R$ 73.500,00",3-DESPESAS CORRENTES,339039077,1.501.0000,OD-OUTRAS DESPESAS,3,3,2,3,54
01,Pagamento com despesas com passagens,Existente / Aditivo,GADP,GADP,2004,DESPESAS COM PASSAGENS,Mensal,12,"R$ 12.000,00","R$ 144.000,00",3-DESPESAS CORRENTES,339033001,1.501.0000,CD-CONTRATOS DIVERSOS,3,3,1,3,27
02,Pagamento de Diarias ,Não,GADP,GADP,2004,DIARIAS FORA DO ESTADO ,Mensal,12,"R$ 12.000,00","R$ 144.000,00",3-DESPESAS CORRENTES,339014002,1.501.0000,OD-OUTRAS DESPESAS,3,3,1,3,27
01,Contratar Empresa para Prestação de Serviços  - 1-Psicologo e 1-Assistente Social,Novo a contratar 2024,DAFI,UGPES/GACD,2259,Contratar Um psicologo e Um Assitente Social,Mensal,12,"R$ 20.000,00","R$ 240.000,00",3-DESPESAS CORRENTES,3.3.90.39.033,1.501.0000,OD-OUTRAS DESPESAS,5,5,5,5,625
02,SODEXO - Sodexo Pass do Brasil,Existente / Aditivo,DAFI,UGPES/GPMM,2259,"Fornecimento de vale alimentação  - 311 VA R$ 1.034,00  (47,00 UN.)",Mensal,12,"R$ 321.574,00","R$ 3.858.888,00",3-DESPESAS CORRENTES,3.3.90.39.60,1.501.0000,CD-CONTRATOS DIVERSOS,5,5,5,5,625
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2259,,,,,"R$ 0,00",,,,,,,,,0
01,Adiantamento de Consumo ,Não,DAFI,UGADM,2007,Adiantamento de Consumo ,Unidade,06,"R$ 4.000,00","R$ 24.000,00",3-DESPESAS CORRENTES,3.3.90.30.013,1.501.0000,OD-OUTRAS DESPESAS,2,2,2,2,16
02,Adiantamento de Serviços ,Não,DAFI,UGADM,2007,Adiantamento de Serviço ,Unidade,06,"R$ 4.000,00","R$ 24.000,00",3-DESPESAS CORRENTES,3.3.90.30.013,1.501.0000,OD-OUTRAS DESPESAS,2,2,2,2,16
06,Assistencia de Elevador ,Novo a contratar 2024,DAFI,UGADM,2007,Manutenção de Elevador ,Mensal,12,"R$ 1.500,00","R$ 18.000,00",3-DESPESAS CORRENTES,3.390.39.016,1.501.0000,OD-OUTRAS DESPESAS,2,2,2,2,16
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2004,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2005,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
00,,,,,2006,,,,,"R$ 0,00",,,,,,,,,0
