Unidade,Diretoria,Indicador (descrição),Indicador (tipo),Indicador (fórmula),Meta (objetivo),Meta (valor/quantidade) - proposta,Meta (prazo),Unidade de Medida,Polaridade do Indicador,Como,Necessidades,Observação,Histórico do Indicador,"JANEIRO
META DO MÊS","JANEIRO
ALCANCE DO MÊS","JANEIRO
RESULTADO",JANEIRO OBSERVAÇÃO,"FEVEREIRO
META DO MÊS","FEVEREIRO
ALCANCE DO MÊS","FEVEREIRO
RESULTADO",FEVEREIRO OBSERVAÇÃO,"MARÇO
META DO MÊS","MARÇO
ALCANCE DO MÊS","MARÇO
RESULTADO",MARÇO OBSERVAÇÃO,"ABRIL
META DO MÊS","ABRIL
ALCANCE DO MÊS","ABRIL
RESULTADO",ABRIL OBSERVAÇÃO,"MAIO
META DO MÊS","MAIO
ALCANCE DO MÊS","MAIO
RESULTADO",MAIO OBSERVAÇÃO,"JUNHO
META DO MÊS","JUNHO
ALCANCE DO MÊS","JUNHO
RESULTADO",JUNHO OBSERVAÇÃO,"JULHO
META DO MÊS","JULHO
ALCANCE DO MÊS","JULHO
RESULTADO",JULHO OBSERVAÇÃO,"AGOSTO
META DO MÊS","AGOSTO
ALCANCE DO MÊS","AGOSTO
RESULTADO",AGOSTO OBSERVAÇÃO,"SETEMBRO
META DO MÊS","SETEMBRO
ALCANCE DO MÊS","SETEMBRO
RESULTADO",SETEMBRO OBSERVAÇÃO,"OUTUBRO
META DO MÊS","OUTUBRO
ALCANCE DO MÊS","OUTUBRO
RESULTADO",OUTUBRO OBSERVAÇÃO,"NOVEMBRO
META DO MÊS","NOVEMBRO
ALCANCE DO MÊS","NOVEMBRO
RESULTADO",NOVEMBRO OBSERVAÇÃO,"DEZEMBRO
META DO MÊS","DEZEMBRO
ALCANCE DO MÊS","DEZEMBRO
RESULTADO",DEZEMBRO OBSERVAÇÃO
UNIJUR,,Taxa de Revisões e Retrabalhos,DIREX,nº de manifestações revisadas/total de pareceres conclusivos ,Aponta possíveis problemas na qualidade inicial do trabalho,"0,00%",31/12/2025,Percentual,Menor Melhor,"Aponta possíveis problemas na qualidade inicial do trabalho. Monitorar os processos administrativos, verificando a quantidade de manifestações não conclusivas com a quantidade de Parecer Conclusivo ",-,"1 - Monitorar os processos administrativos, verificando a quantidade de manifestações não conclusivas com a quantidade de Parecer Conclusivo ",-,"0,00%","0,00%","0,00%",nenhum processo revisto,"0,00%","0,00%","0,00%",nenhum processo revisto,"0,00%","0,00%","0,00%",nenhum processo revisto,"0,00%","0,00%","0,00%",nenhum processo revisto,"0,00%","0,00%","0,00%",nenhum processo revisto,2,2,"100,00%",1 - aquisição e 1 - pessoal,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,-,,,,-,,,,-,,,,-,
UNIJUR,,Satisfação dos Demandantes Internos e Subprocuradoria PGE em Relação aos Serviços Ofertados pela Unidade Jurídica,DIREX,Questionário de pesquisa de satisfação,Aponta possíveis melhorias na qualidade do serviço a ser entregue,"100,00%",31/12/2025,Percentual,Maior Melhor,Aponta possíveis melhorias na qualidade do serviço a ser entregue. Desenvolver questionário pelo goolg forms para ser enviado a empresa e ao setor responsável da PGE,-,1 - Desenvolver questionário pelo goolg forms para ser enviado a empresa e ao setor responsável da PGE,-,"0,00%","0,00%","0,00%",previsão em março,"0,00%","0,00%","0,00%",previsão em março,"0,00%","0,00%","0,00%",resultado será divulgado em abril,"100,00%","95,54%","95,54%","0,00%","0,00%","0,00%","0,00%",sem pesquisa esse mÊs,"0,00%","0,00%","0,00%",sem pesquisa esse mês,"0,00%","0,00%","0,00%","0,00%","100,00%","80,00%","80,00%",,,,-,,,,-,,,,-,,,,-,
UNIJUR,,Nº de Dias para Atendimento de Processos Judicias e de Órgãos de Controle,DIREX,Média de dias para atendimento ,Atender no prazo estabelecido,08,31/12/2025,Unidade,Menor Melhor,Atender no prazo estabelecido. 1. Inclusão das tarefas no GAT MTI; 2. Monitorar o GAT; 3. Monitorar as publicações oficiais; 4. Acompanhar os andamentos processais. 5. Dialogar com a PGE acerca do cumprimento dos prazos.,-,1. Inclusão das tarefas no GAT MTI; 2. Monitorar o GAT; 3. Monitorar as publicações oficiais; 4. Acompanhar os andamentos processais. 5. Dialogar com a PGE acerca do cumprimento dos prazos.,-,08,04,"150,00%",4 atividades processuais,08,04,"150,00%",16 atividades,08,03,"162,50%",15 atividades,08,04,"150,00%",10 atividades,08,02,"175,00%",,08,03,"162,50%",,08,05,"137,50%",,08,04,"100,00%",,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,
UNIJUR,,Nº de dias para Atendimento de Processo de Aquisição e Contratos e Processos de Parceria,DIREX,Média de dias para atendimento ,Atender no prazo estabelecido,07,31/12/2025,Unidade,Menor Melhor,"Atender no prazo estabelecido. 1. Receber os processos no SIGADOC no mesmo dia da remessa; 2. Alimentar diariamente o GAT. 3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",-,"1. Receber os processos no SIGADOC no mesmo dia da remessa;
2. Alimentar diariamente o GAT.
3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",-,07,04,"142,86%",16 atividades processuais,07,05,"128,57%",31 atividades,07,05,"128,57%",27 atividades,07,05,"128,57%",26 atividades,07,04,"142,86%",,07,04,"142,86%",,07,04,"142,86%",,07,05,"100,00%",,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,
UNIJUR,,Nº de Dias para Atendimento de Processo de Pessoal,DIREX,Média de dias para atendimento ,Atender no prazo estabelecido,07,31/12/2025,Unidade,Menor Melhor,"Atender no prazo estabelecido. 1. Receber os processos no SIGADOC no mesmo dia da remessa; 2. Alimentar diariamente o GAT. 3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",-,"1. Receber os processos no SIGADOC no mesmo dia da remessa;
2. Alimentar diariamente o GAT.
3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",-,07,05,"128,57%",142 atividades processuais,07,05,"128,57%",37 atividades,07,04,"142,86%",37 atividades,07,05,"128,57%",20 atividades,07,04,"142,86%",,07,05,"128,57%",,07,04,"142,86%",,07,05,"100,00%",,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,
UNIJUR,,Nº de Dias para Atendimento de Processos de Clientes,DIREX,Média de dias para atendimento ,Atender no prazo estabelecido,05,31/12/2025,Unidade,Menor Melhor,"Atender no prazo estabelecido. 1. Receber os processos no SIGADOC no mesmo dia da remessa; 2. Alimentar diariamente o GAT. 3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",-,"1. Receber os processos no SIGADOC no mesmo dia da remessa; 2. Alimentar diariamente o GAT. 3. Distribuir os processos, preferencialmente, no mesmo dia de recebimento no setor;",-,05,05,"100,00%",4 atividades processuais,05,04,"120,00%",4 atividades,05,02,"160,00%",2 atividades,05,02,"160,00%",4 atividades,05,02,"160,00%",,05,03,"140,00%",,05,04,"120,00%",,05,05,"100,00%",,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,
UNIJUR,,Nº de Dias para Atendimento Jurídico,DIREX,Média de dias para atendimento ,Atender no prazo estabelecido,05,31/12/2025,Unidade,Menor Melhor,Atender no prazo estabelecido. 1 - Consultas realizadas por e-mail ou presencialmente na Unidade Jurídica; 2 - Acompanhar o prazo de resposta; 3 - Verificar se a consulta deve ser remetida para PGE;,-,1 - Consultas realizadas por e-mail ou presencialmente na Unidade Jurídica; 2 - Acompanhar o prazo de resposta; 3 - Verificar se a consulta deve ser remetida para PGE;,-,05,01,"180,00%",12 atividades,05,02,"160,00%",25 atividades,05,02,"160,00%",51 atividades,05,02,"160,00%",48 atividades,05,03,"140,00%",,05,02,"160,00%",,05,04,"120,00%",,05,02,"100,00%",,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSCOM,GADP,Eventos realizados - Total de eventos realizados,,(Total de eventos realizados/Total de eventos demandados)*100,"- Garantir padronização da identidade visual
- Contribuir para imagem positiva da MTI
- Auxiliar os setores na organização dos eventos","100,00%",Mensal,,,"- Planejamento antecipado, incluindo definição de datas, locais e formatos, deve ser realizado pelo setor demandante e repassado à ASSCOM para validação.
- Divulgação antecipada para maximizar o alcance e impacto.
",- Que os outros setores comuniquem a ASSCOM com antecedência sobre os eventos planejados.,,,100%,100%,"100,00%",Janeiro Branco,100%,100%,"100,00%",,100%,100%,"100,00%","Capacitação ServiceNow - 17/03/2025 a 21/03/2025 

34° Tech Talk MTI - GenAI em Banco de Dados - 19/03/2025

Analytics Day - MTI + SAS + VERT - 20/03/2025",100%,100%,"100,00%","MTI NOW - Gestão de Compras 360° e FSM - 10/04/2025

Café Tech 31° Edição - 30/04/2025",100%,100%,"100,00%","Workshop Integração e Normativas MTI - 15/05/2025

32ª Café Tech - MTI Connect - 21/05/2025",100%,100%,"100,00%","Capacitação em Gestão e Fiscalização de Contratos
- 09/06/2025

Assédio Moral no Trabalho: Entenda, Previna e Combata
- 16/06/2025

 2º Universo MTI: IA a Serviço da Inovação Pública
- 18/06/2025",100%,100%,"100,00%","DIRC - 1° Disseminação de Resultados 2025 - 09/07

DTIC - 1° Disseminação de Resultados 2025 - 16/07

DAFI - 1° Disseminação de Resultados 2025 - 23/07

MTI Data Security: Como Blindar o Setor Público na Era dos Ataques Digitais - 29/07

GADP - 1° Disseminação de Resultados 2025 - 30/07

33° Café Tech MTI - LGPD em Foco - 31/07",100%,100%,"100,00%",LGPD em Foco - 20/08/2025,,,-,,,,-,,,,-,,,,-,
ASSCOM,GADP,Engajamento em eventos  - Número de participantes nos eventos organizados,,(Número de participantes/Número de convidados)*100,"
- Melhorar o engajamento dos empregados
- Melhorar o reconhecimento da MTI","50,00%",Mensal,,,"- Implementação de estratégias de marketing pré e pós-evento.
- Utilização de ferramentas de feedback para avaliar a satisfação do público.
- Promoção ativa para aumentar a participação.",- Que cada unidade incentive seus funcionários diretos a participarem dos eventos internos da MTI.,,,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,,,-,,,,-,,,,-,,,,-,
ASSCOM,GADP,Matérias jornalísticas - Número de matérias produzidas ,,Número de matérias,"- Ampliar a visibilidade e compreensão dos projetos, entregas, capacitações e qualquer atividade importante da MTI
- Transparência",10,Mensal,,," - Identificação de ângulos de notícia interessantes sobre as atividades da MTI.
- Produção de comunicados de imprensa e materiais de apoio.
",,,,1,1,"100,00%",,3,3,"100,00%",,3,3,"100,00%",,6,6,"100,00%",,6,6,"100,00%",,3,3,"100,00%",,4,4,"100,00%",,7,7,"100,00%",,,,-,,,,-,,,,-,,,,-,
ASSCOM,GADP,Redes Sociais - Número de publicações nas redes sociais ,,Número de publicações,"- Reforçar a presença online da MTI 
- Melhorar engajamento
- Ampliar divulgação/conhecimento das atividades da MTI",20,Mensal,,,"- Desenvolvimento de um calendário editorial para manter consistência.
- Utilização de conteúdo visual para aumentar o engajamento.
- Monitoramento ativo das interações e respostas rápidas.
- Implementação de campanhas pagas para ampliar o alcance.",,,,25,25,"100,00%",,21,21,"100,00%",,28,28,"100,00%",,35,35,"100,00%",,123,123,"100,00%",,56,56,"100,00%",,84,84,"100,00%",,76,76,"100,00%",,,,-,,,,-,,,,-,,,,-,
ASSCOM,GADP,Demandas internas atendidas no prazo - Número de demandas atendidas no prazo estabelecido,,(Número de demandas atendidas/Número de demandas)*100,- Agilidade na comunicação interna,"100,00%",Mensal,,,"- Estabelecimento de prazos realistas e comunicação clara das expectativas.
- Treinamento contínuo para a equipe em práticas eficazes.
- Monitoramento regular do progresso e ajustes quando necessário.",,,,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,,,-,,,,-,,,,-,,,,-,
ASSCOM,GADP,Endomarketing - Números de ações de endomarketing realizadas,,Número de ações realizadas,"- Valorização e satisfação dos funcionários
- Fomentar a colaboração
- União da equipe MTI",1,Mensal,,,"- Organização de eventos internos alinhados com a UGPES para promover integração.
- Utilização de canais de comunicação interna, como intranet, e-mail e WhatsApp.
- Coleta de feedback dos colaboradores para ajustes contínuos.",,,,364,364,"100,00%",Correio Elegante,95,95,"100,00%",,105,105,"100,00%",,117,117,"100,00%",,185,185,"100,00%",,92,92,"100,00%",,142,142,"100,00%",,108,108,"100,00%",,,,-,,,,-,,,,-,,,,-,
ASSCOM,GADP,Tratamento da Pesquisa de Imagem e Satisfação 2023 - Tratamento da pesquisa em relação ao número de melhorias identificadas.,,(Número de tratativas/Número de aspectos indentificados)*100,Aprimorar os aspectos que não obtiveram resultados satisfatórios na pesquisa. Como será realizado:,"100,00%",Anual,,,"- Análise dos resultados.
- Plano de ação estratégico para cada item.
- Supervisão das ações com os setores responsáveis.
- Comunicação transparente sobre o andamento das tratativas.",,,,100%,100%,"100,00%",Encerramento da Pesquisa 2024 em 31/01/2025.,100%,100%,"100,00%","- Relatório da pesquisa apresentado na Direx
- Resultado divulgado no site e nas redes sociais
- Planilhas das tratativas elaboradas
- Aguardando DIRC e DTIC enviarem a planilha preenchida (prazo: 14/03)",100%,100%,"100,00%",Tratativas em andamento DIRC e DTIC.,100%,100%,"100,00%",Tratativas em andamento DIRC e DTIC.,100%,100%,"100,00%",Tratativas em andamento DIRC e DTIC.,100%,100%,"100,00%",,100%,100%,"100,00%",Aguardando as tratativas da DIRC.,100%,100%,"100,00%",Aguardando as tratativas da DIRC.,,,-,,,,-,,,,-,,,,-,
ASSCOM,GADP,Índice de Satisfação e Imagem,GOVERNADORIA,Pesquisa anual aplicada. Média das notas dos respondentes.,-,"8,40",31/12/2025,Nota,Maior Melhor,"Este indicador é obtido através da pesquisa institucional. Este indicador deve estar alinhado e acoplado ao Plano de Marketing e de Comunicação da Empresa e, igualmente, ao Plano de Negócios, dentre outros instrumentos. Deve-se observar as avaliações do MT cidadão, inclusive.",-,-,-,"0,00%","0,00%","0,00%","A Pesquisa de 2024 foi encerrada em 31/01/2025. Após o encerramento, dei início à elaboração do relatório, ao cálculo da nota e às análises. A apresentação para a DIREX está prevista para 18/02/2025 e, após a validação, o relatório com a nota final será publicado no site da MTI, junto às divulgações programadas.","0,00%","0,00%","0,00%","Realizado Direx para apresentação do relatório da pesquisa de 2024. Entregue planilha à DIRC e DTIC para apontamentos e início das tratativas (prazo de entrega: 14/03). Aguardando a entrega para verificar os apontamentos e iniciar melhorias, caso necessário, na elaboração da pesquisa de 2025.","0,00%","0,00%","0,00%",Inicio da elaboração da pesquisa de 2025.,"0,00%","0,00%","0,00%","Pesquisa elaborada, aguardando validação da direx.",0%,0%,"0,00%",Aguardando inicio da pesquisa em agosto.,0%,0%,"0,00%",Elaboração das artes e formulários. Previsão de inicio: Agosto.,0%,0%,"0,00%",Pesquisa validada e programada para iniciar em 4 de agosto.,0%,0%,"0,00%","Pesquisa de 2025 aberta. 

Ações de divulgação por público-alvo:
Cidadãos:
- Publicação da matéria no site da MTI; 
- Pop-up adicionado ao site;
- Publicação nas redes sociais (Instagram e Linked In);
- Link do forms adicionado no linktree.

Líderes de Governo | Gestores de TI | Parceiros | Fornecedores:
- Envio de e-mail marketing ",,,-,,,,-,,,,-,,,,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGGOV/GGES,GADP,Índice de Governança e Gestão - IiESGo,Estratégico,Métrica do TCU,Aumentar a capacidade de governança e gestão,61,Anual,Unidade,Maior Melhor,,,,,"0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 05/02
68 OM
16 Concluída
23,53%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 05/03
68 OM
17 Concluída
25%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 05/02
68 OM
18 Concluída
26,47%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 30/04
68 OM
19 Concluída
27,94%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 06/06
68 OM
19 Concluída
27,94%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 05/07
68 OM
20 Concluída
29,41%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 01/08
68 OM
20 Concluída
29,41%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 05/09
68 OM
29 Concluída
42,65%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 05/xx
68 OM
xx Concluída
xx%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 05/xx
68 OM
xx Concluída
xx%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 05/xx
68 OM
xx Concluída
xx%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado iESGo até 05/xx
68 OM
xx Concluída
xx%"
UGGOV,GADP,Índice de Cumprimento das Práticas de Gestão,DIREX,(Total de práticas de gestão implementadas no prazo/Total de práticas) *100,Cumprir as práticas de gestão (CI 2024),"91,00%",Mensal,Percentual,Maior Melhor,Cumprir as práticas de gestão (CI 2024),,A composição da fórmula ocorre mediante uma regra/peso para cada prática definida na referida CI,,100%,"91,08%","91,08%",Monitoramento das práticas referentes a janeiro.,100%,"98,32%","98,32%",Monitoramento das práticas referentes a fevereiro.,100%,"85,91%","85,91%",Monitoramento das práticas referentes a março.,100%,"84,49%","84,49%",Monitoramento até 30/05,100%,,"0,00%",Monitoramento até 30/06,100%,"90,81%","90,81%",Monitoramento até 30/07,100%,"93,02%","93,02%",Monitoramento até 30/08,100%,,"0,00%",Monitoramento até 30/09,100%,,"0,00%",Monitoramento até 30/10,100%,,"0,00%",Monitoramento até 30/11,100%,,"0,00%",Monitoramento até 30/12,100%,,"0,00%",Monitoramento até 30/01
UGGOV/GEPP,GADP,Índice de Padrões Dentro do Prazo de Validade,DIREX,(Quantidade de padrões vencidos / quantidade de padrões elaborados) * 100,Manter todos os padrões dentro do prazo.,"100,00%",Mensal,Percentual,Maior Melhor,Manter todos os padrões dentro do prazo.,,,,100%,"94,87%","94,87%",4 padrões vencidos de 78 no total.,100%,"96,15%","96,15%",3 padrões vencidos de 78 no total.,100%,"94,87%","94,87%",4 padrões vencidos de 78 no total.,100%,"94,94%","94,94%","4 padrões vencidos de 79 no total.

2 em atualização
2 com equipes notificadas",100%,"95,29%","95,29%","4 padrões vencidos de 85 no total.

1 em atualização
3 com equipes notificadas",100%,"95,35%","95,35%","4 padrões vencidos de 86 no total.

1 em atualização
3 com equipes notificadas",100%,"95,35%","95,35%","4 padrões vencidos de 86 no total.

4 em atualização",100%,"94,05%","94,05%","5 padrões vencidos de 84 no total.

1 em atualização",100%,,"0,00%",,100%,,"0,00%",,100%,,"0,00%",,100%,,"0,00%",
UGGOV/GGES,GADP,Índice de Cumprimento do Plano Estratégico,DIREX,% de indicadores que atingiram a meta,Que todos os indicadores atinjam a meta estabelecida,"100,00%",Anual,Percentual,Maior Melhor,Que todos os indicadores atinjam a meta estabelecida,,,,"0,00%","0,00%","0,00%","Monitoramento é mensal, ciclo do indicador anual","0,00%","0,00%","0,00%","Monitoramento é mensal, ciclo do indicador anual","0,00%","0,00%","0,00%","Monitoramento é mensal, ciclo do indicador anual","0,00%","0,00%","0,00%","Monitoramento é mensal, ciclo do indicador anual","0,00%","0,00%","0,00%","Monitoramento é mensal, ciclo do indicador anual","0,00%","0,00%","0,00%","Monitoramento é mensal, ciclo do indicador anual","100,00%","28,57%","28,57%","Total de 09 Indicadores, sendo: 02 da avaliação da gestão que não terá diagnóstico. 02 já concluídos os resultados.","100,00%","28,57%","0,00%","Total de 09 Indicadores, sendo: 02 da avaliação da gestão que não terá diagnóstico. 02 já concluídos os resultados.","100,00%","0,00%","0,00%","Total de 09 Indicadores, sendo: 02 da avaliação da gestão que não terá diagnóstico. 02 já concluídos os resultados.","100,00%","0,00%","0,00%","Total de 09 Indicadores, sendo: 02 da avaliação da gestão que não terá diagnóstico. 02 já concluídos os resultados.","100,00%","0,00%","0,00%","Total de 09 Indicadores, sendo: 02 da avaliação da gestão que não terá diagnóstico. 02 já concluídos os resultados.","100,00%","0,00%","0,00%","Total de 09 Indicadores, sendo: 02 da avaliação da gestão que não terá diagnóstico. 02 já concluídos os resultados."
UGGOV,GADP,Índice de Satisfação dos Serviços Prestados na UGGOV,DIREX,Nota de satisfação do formulário encaminhado.,Identificar a satisfação dos usuários com os serviços da UGGOV,"95,00%",Mensal,Percentual,Maior Melhor,Identificar a satisfação dos usuários com os serviços da UGGOV,,,"Resutado acumulado de 2024: 97,60",100%,"98,20%","98,20%","Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação.
3 - Orientações realizadas.",100%,100%,"100,00%","Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação.
2 - Orientações realizadas.
Média acumulada no ano: 9,91",100%,"100,00%","100,00%","Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação. 1 - orientação em março.
Média acumulada no ano: 9,91",100%,99%,"99,20%","Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação.
1 - Webinar - Boas Práticas de Monitoramento - realizado
Média acumulada no ano: 9,94",-,-,"0,00%","Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação.
Não houve avaliação em maio
Média acumulada no ano: 9,94",100%,100%,"100,00%","Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação.
1 - Planejamento de Aquisição 2026 e PTA 2026
Média acumulada no ano: 9,94",-,-,"0,00%","Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação.
Não houve avaliação em maio
Média acumulada no ano: 9,94",-,-,"0,00%","""Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação.
Não houve avaliação em maio
Média acumulada no ano: 9,94""",100%,,"0,00%",,100%,,"0,00%",,100%,,"0,00%",,100%,,"0,00%",
UGGOV/GEPP,GADP,Índice de Execução de Monitoramento do PTA,DIREX,(Nº de itens monitorados / Nº de itens monitoráveis) * 100,Que todos os itens do PTA estejam monitorados,"100,00%",Mensal,Percentual,Maior Melhor,Que todos os itens do PTA estejam monitorados,Depende do sistema Monitora.,,,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora,"0,00%","0,00%","0,00%",Aguardando liberação sistema Monitora
UGGOV/GGES,GADP,Índice de Maturidade de Gestão e Governança - Modelo IMGG,GOVERNADORIA,Questionário no instrumento disponibilizado pelo Ministério de Gestão e Inovação - MGI,-,"93,00%",31/12/2025,Percentual,Maior Melhor,"Prover alta disponibilidade do Portal de Serviços. Disponibilidade Portal de Serviços. Reflete a confiabilidade e continuidade dos serviços dos Portais de Governo. Ele é calculado mensalmente, considerando a disponibilidade de diversos componentes críticos de infraestrutura e aplicações estratégicas, todos com peso igual na composição do indicador.",-,-,-,"0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/02
16 OM
6 Concluída
37,50%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/03
16 OM
6 Concluída
37,50%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/02
16 OM
6 Concluída
37,50%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/03
16 OM
8 Concluída
50%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 02/06
16 OM
7 Concluída
43%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/07
16 OM
10 Concluída
62,50%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 01/08
10 Concluída
62,50%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/09
16 OM
10 Concluída
62,50%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/xx
16 OM
x Concluída
xx%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/xx
16 OM
x Concluída
xx%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/xx
16 OM
x Concluída
xx%","0,00%","0,00%","0,00%","No ano de 2025 não será realizado Diagnóstico.
Resultado IMGG até 05/xx
16 OM
x Concluída
xx%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGPRO,GADP,Índice de Projetos Cancelados,Operacional,"(Projetos Cancelados/
Total de Projetos) * 100","≤ 5% Otimizar a análise de
viabilidade antes da
iniciação",5%,Anual,Percentual,Menor Melhor,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,,
UGPRO,GADP,Índice de Projetos Paralisados,Operacional,"(Projetos Paralisados/
Total de projetos
finalizados) * 100
","≤ 5% Garantir nível de
continuidade dos Projetos",5%,Anual,Percentual,Maior Melhor,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,,
UGPRO,GADP,Índice de Satisfação de Projetos,Operacional,"(Projetos entregues no
prazo / Total de Projetos
finalizados) * 100","≥ 85% Manter alto nível de
aceitação dos entregáveis",85%,Anual,Percentual,Maior Melhor,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,,
UGPRO,GADP,Índice de Demandas Estratégicas SN,Operacional,"(Demandas Concluídas/
Total de Demandas) * 100","80% Melhoria contínua e
entrega de valor no SN",80%,Anual,Percentual,Menor Melhor,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,,
UGPRO,GADP,Percentual de Capacitação SN,Operacional,"(Usuários Ativos
Treinados/ Usuários Ativos
SN) * 100","85% Garantir amadurecimento
na utilização do SN.",85%,Anual,Percentual,Maior Melhor,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,,
