Unidade,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,NÍVEL DO RISCO,CLASSIFICAÇÃO DO RISCO,O QUE,QUEM,ONDE,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos,CR,CTD CR
R.UGENP.13,Vazamento de dados sigilosos referentes ao processo de parcerias e ideias de inovação,Operacional,CRÍTICO,RESIDUAL,Participar de treinamentos regulares sobre segurança da informação e a importância da proteção de dados sigilosos.,Aílton Machado,MTI,"conscientização dos colaboradores é essencial para prevenir erros humanos, phishing e outras ameaças internas.","Participar de campanhas de conscientização, simulações de phishing, e orientar os colaboradores sobre boas práticas de segurança.                                                                                       Fomentar políticas de acesso baseadas em funções, criptografar dados sensíveis e monitorar as atividades de acesso e uso dos dados.",01/03/2024,31/12/2025,,EM ANDAMENTO,"38,00%","Worshop sobre LGPD;                                                  Participação nos fóruns de LGPD;                          Participação em pesquisa;                             Revisão do compartilhamento de pastas e arquivos da UG, dos processos de parceria estratégica.      ",UGENP,,,,,
R.UGENP.14,Direcionamento de um processo de parceria ou chamamento público,Operacional,MODERADO,RESIDUAL,"Assegurar que o processo de seleção seja conduzido de forma imparcial, sem favorecimentos ou direcionamentos indevidos.",Aílton Machado,MTI,"A transparência fortalece a credibilidade da empresa, demonstra a lisura do processo e permite a prestação de contas à sociedade.","Participar de comissão ou equipe responsável pela avaliação, evitar conflitos de interesse e garantir a transparência em todas as etapas do processo.                                                                                                                    Dar publicidade de informações sobre o processo, disponibilizar relatórios de avaliação, e responder a questionamentos e solicitações de esclarecimento de forma aberta.",05/01/2025,31/12/2025,,EM ANDAMENTO,"39,00%",Participação de comitê de inovação e Transformação Digital MT;                                                  Grupo de Trabalho da Politica de IA para Poder Executivo de Mato Grosso,UGENP,,,,,
R.UGENP.15,Baixo engajamento das equipes internas,Operacional,MODERADO,INERENTE,"Criar oportunidades para que os colaboradores participem ativamente, contribuam com ideias e sugestões, e se envolvam em projetos e iniciativas da empresa.",Aílton Machado,MTI,"O envolvimento dos colaboradores aumenta a motivação, a criatividade e a produtividade, além de fortalecer o senso de pertencimento e a cultura de colaboração.",Sensibilização/motivação das equipes,05/01/2025,31/12/2025,,EM ANDAMENTO,"39,00%",Liberação para participação em palestras de tecnologia e inovação;                                Participação de Evento externo do Gartner; Participação em Eventos ,UGENP,,,,,
R.UGENP.16,Baixa capacidade para operacionalizar as parcerias estratégicas,Operacional,MODERADO,RESIDUAL,"Elaborar um plano estratégico que defina objetivos claros, metas mensuráveis e ações específicas para operacionalizar as parcerias estratégicas.",Aílton Machado,MTI,"Um plano de gestão estruturado orienta as atividades, alinha os esforços da equipe e facilita a execução eficaz das parcerias.",Aperfeiçoar o modelo de parcerias estratégicas a. monitorar a execução de todo o processo das parcerias estratégicas em conjuto com os parceiros.,05/01/2025,31/12/2025,,EM ANDAMENTO,"45,00%",Aprovação des instrumentos do Regulamento de Parceria MIPP / TAP / Compliance,UGENP,,,,,
R.UGENP.17,Risco a oportunidade de negócios ou comprometimento da continuidade de negócios de produtos de parceria da MTI,Operacional,CRÍTICO,RESIDUAL,Identificar e avaliar os riscos que podem impactar as oportunidades de negócios e a continuidade das operações da empresa.,Aílton Machado,MTI,"A análise de riscos permite antecipar ameaças potenciais, tomar medidas preventivas e mitigar os impactos negativos nos negócios.","Realizar avaliações regulares de riscos, envolver as partes interessadas, priorizar os riscos identificados e desenvolver planos de ação para gerenciá-los.",05/01/2025,31/12/2025,,EM ANDAMENTO,"40,00%","Revisitação no Plano de Riscos, inerentes a UGENP",UGENP,,,,,
R.UGEPV.01,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Risco Estratégico,ALTO,INERENTE,Monitorar a satisfação de cada entrega,UGEPV,MTI,Para termos uma métrica de nossas entregas e melhorar o status de nossa imagem com os clientes,"Ouvindo o cliente conforme cada entrega que fazemos , encaminhando pesquisas de satisfação ",02/01/2025,31/12/2025,Fechamentos mensais,,,"Essa pesquisa não estava a cargo de nossa unidade contudo a partir de 20/02/2025 ficou a nosso cargo, estamos preparando os envios.",UGEPV,#DIV/0!,12,12,,
R.UGEPV.02,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Risco Estratégico,MODERADO,INERENTE,Utilizar nossa ferramenta tecnologica visando criar um Health Score e estudar os pontos de atenção para abordamos com o cliente,UGEPV,MTI,"Nos antecipar a situações que podem elevar sua taxa de churn . Além disso, mensurar a saúde do cliente é essencial para aumentar a fidelização de clientes",Utilizando nossa ferramenta de CRM integrado,02/01/2025,31/12/2025,Fechamentos mensais,,,Estamos em vias de fato para o fechamento da solução.,UGEPV,,,,,
R.UGEPV.03,Insatisfação do Cliente Devido à Qualidade dos Serviços,Risco Estratégico,ALTO,INERENTE,Monitorar a jornada do cliente de acordo com as fases em que o mesmo se encontra,UGEPV,MTI,"Entendemos que em muitas entregas o cliente não entendem o valor que recebeu, noss atividade sera dar transparencia ao cliente",Acompanhando diretamente cada passo das entregas.,02/01/2025,31/12/2024,Fechamentos mensais,,,,UGEPV,,,,,
R.UGEPV.04,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Risco Estratégico,ALTO,INERENTE,"Monitorar as entregas realizadas pela equipe técnica junto com o cliente, definindo quem faz o que, dentro do fluxo",UGEPV,MTI,"Entendemos que em muitas entregas o cliente não entendem o valor que recebeu, noss atividade sera dar transparencia ao cliente",Acompanhando diretamente cada passo das entregas.,02/01/2025,31/12/2025,Fechamentos mensais,,,,UGEPV,,,,,
R.UGEPV.05,Insatisfação do Cliente Devido à Qualidade dos Serviços,Risco Estratégico,ALTO,INERENTE,Realizar mais agendas de homologação junto ao cliente,UGEPV,MTI,"Entendemos que em muitas entregas o cliente não entendem o valor que recebeu, noss atividade sera dar transparencia ao cliente",Acompanhando diretamente cada passo das entregas.,02/01/2025,31/12/2025,Fechamentos mensais,,,,UGEPV,,,,,
R.UGEPV.06,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Risco Estratégico,ALTO,INERENTE,Monitorar equipe técnica interna (DTIC e Parceiro) e clientes visando remover impedimentos,UGEPV,MTI,Para traduzir em linguagem simples o que esta sendo entregue,Monitorando/acompanhando o atendimento,02/01/2025,31/12/2025,Fechamentos mensais,,,,UGEPV,,,,,
R.UGEPV.07,Insatisfação do cliente com o serviço adquirido.,Operacional,ALTO,RESIDUAL,"1. Entrega deficitária
2. Entrega fora do prazo acordado;
3. Falta de atendimento em tempo hábil",todas as equipes ,MTI,O acordo entabulado com o cliente deve ser rigorosamente cumprido emtodos os seus termos,"Acompanhar o cliente em todo processo desde a compra até a entrega do produto, cada equipe seguindo seu processo na cadeia comercial, proporcionando ao cliente a segurança e satisfação pretendida. ",01/01/2024,31/12/2024,,,,"Aumentamos o numero de visitas aos clientes com o intuito de ouvi-los tanto em relação a necessidades do dia a dia, quanto nas necessidades futuras, a expectativa é que essas interações traga ao cliente mais confiança em nossos consultores e principalmente os tenham como um ponto focal para relatos de problemas e novas oportunidades",UGEPV,,,,,
R.UGEPV.08,Atrasos na entrega de serviços .,Operacional,ALTO,RESIDUAL,cumprimento de prazos,todas as equipes ,MTI,A pontualidade é um fator primordial que vai ser o grande divisor entre atrair ou afastar o cliente.,Identificar onde estão os pontos que acarretam nos atrasos das entregas e sanar ou miticar tais pontos ,01/01/2024,31/12/2024,,,,"Para essa atividade estamos estreitando a comunicação entre a equipe de Fabrica, projetos e comercial, desta forma conseguiremos estar junto ""just in time"" na entregas e conforme reuniões semanais o andamento das entregas visando assim uma entrega a contento para o cliente.",UGEPV,,,,,
R.UGEPV.09,Dificuldades na utilização do produto/serviços por parte do cliente.,Operacional,ALTO,RESIDUAL,"Orientação, treinamento, informação.",todas as equipes ,MTI,se o Cliente não sabe ou não consegue utilizar o produto adquirido na sua totalidade e/ou da forma correta esse produto se torna sem valor.,Orientar o cliente quanto a  eventuais dificuldades que o cliente possa ter na utilização adequada do produto.,01/01/2024,31/12/2024,,,,"Estamos entendendo os processos, bem como os produtos, para dessa forma consguirmos ajudar nossos clientes em suas necessidades/duvidas, contudo apesar de não dominarmos em sua totalidade as ferramentas, sempre conseguimos alinhar com os parceiros capacitações / overview's para sanarem duvidas existentes.",UGEPV,,,,,
R.UGEPV.10,Falta de suporte pós-venda adequado.,Operacional,ALTO,RESIDUAL,canais de relacionamento,UGEPV,MTI,"A equipe de pós venda deve estar sempre em contato com o cliente, sanando dúvidas, ouvindo as dificuldades que ele venda a ter, anseios dos clientes, identificando os pontos de atenção e buscar sanar ou mitigar juntos os gestores.",Criar e manter canais de relacionamento com o cliente.,01/01/2024,31/12/2024,,,,"Aumentamos o numero de visitas aos clientes com o intuito de ouvi-los tanto em relação a necessidades do dia a dia, quanto nas necessidades futuras, a expectativa é que essas interações traga ao cliente mais confiança em nossos consultores e principalmente os tenham como um ponto focal para relatos de problemas e novas oportunidades",UGEPV,,,,,
R.UGEPV.11,Dificuldades na resolução de problemas ou reclamações dos clientes.,Operacional,ALTO,RESIDUAL,Suporte dos Gestores Diretores,todas as equipes,MTI,"O cliente é o centro do negócio, sem ele, a empresa não tem razão de existir, de modo que, a prioridade é que o cliente utilize nossos produtos sem qualquer intercorrência, e quando houver que seja sanado no menor tempo possível.","Oferecer suporte para apoiar o cliente direcionando para o atendimento adequado, no entanto, quando não for possível essa resolução, é de suma importância acionar os Gestores Diretores para dirimir demandas de alçada maior.",01/01/2024,31/12/2024,,,,"Hoje os clientes utilizam a plataforma service now, ainda estamos em fase inicial contudo, pela relação que estamos construindo com os clientes os mesmos nos acionam quando necessario visando celeridade em um ponto ou outro que precisam de maior agilidade;",UGEPV,,,,,
R.UGEPV.12,Falta de comunicação e acompanhamento eficaz com o cliente após a venda.,Operacional,MODERADO,RESIDUAL,Acompanhamento dos projetos,todas as equipes,MTI,è importante que o cliente tenha plena transparencia dos produtos adquiridos e entregues,Acompanhar de forma macro a entrega dos produtos.,01/01/2024,31/12/2024,,,,"Estamos antenados com os acompanhamentos dos projetos e em sua grande maioria acompanhamos as reuniões semanais de entrega juntamente com o cliente, a idéia é que dentro dessa iteração consigamos entender se o que foi entregue esta a contento.",UGEPV,,,,,
R.UGACO.01,Risco de Resistência à Mudança ,Risco Estratégico,MODERADO,INERENTE,Implementar o uso de IA na formalização de Minuta de Editais e Contratos,UGACO,MTI,Iniciar o uso de IA na formalização de documentos licitatórios,Apartir de Treinamento e capacitação da Ferramenta de IA adotada pela MTI,01/06/2025,31/12/2025,a definir,,,Depende da aquisição/padronização da IA a ser utilizada          - Normatização do uso da IA na MTI,UGACO,"55,83%",9,9,,
R.UGACO.02,Desmotivação dos colaboradores,Risco Estratégico,MODERADO,RESIDUAL,Capacitar as Equipes quanto a legislação vigente de Aquisições e Contratos - GAQS,GAQS,MTI,Manter atualizado os conhecimentos em legislações aplicadas a area de Licitações,Contratando cursos especificos na area de Licitações,01/01/2025,31/12/2025,a definir,,,Reinterado pedido de capacitação junto a SEPLAG quanto ao SIAG modulos compras. Será realizado Capacitação para a gerente quanto as normas e lei 13.303,UGACO,,,,,
R.UGACO.03,Desmotivação dos colaboradores,Risco Estratégico,MODERADO,RESIDUAL,Capacitar as Equipes quanto a legislação vigente de Aquisições e Contratos - GCTO,GCTO,MTI,Manter atualizado os conhecimentos em legislações aplicadas a area de Contratos,Contratando cursos especificos na area de Contratos,01/01/2025,31/12/2025,a definir,,,"20% Curso de capacitação no Siag modulo contratos, executado pela GCTO",UGACO,,,,,
R.UGACO.04,Atraso nos prazos previstos para a conclusão das aquisições,Operacional,ALTO,RESIDUAL,Instrução correta dos processos,GCTO E GAQS,MTI,Para que os processos não retorne por diversas vezes as unidades demandantes para correção,1 - Elaboração do Check List dos documentos necessários para instrução e mapeamento do processo                                                                                   ,01/01/2025,31/12/2025,00,EM ANDAMENTO,"75,00%",Processo sendo instruido com todos os checklist para validação da UNIJUR/PGE,UGACO,,,,,
R.UGACO.05,processos iniciados sem previsão orcamentária (PTA),Conformidade,CRÍTICO,RESIDUAL,"Cumprimento das Legislações (LRF, Decreto 1.525/2022/, RLC...",UGACO,MTI,A unidade demandante deve saber se o produto ou o serviço a ser adquirido foi incluido no PTA e se existe orçamento para a aquisição,1 - Disparar CI com a informação e encaminhar às areas,01/01/2025,31/12/2025,00,EM ANDAMENTO,"40,00%",,UGACO,,,,,
R.UGACO.06,Prorrogações contratuais realizadas com o prazo exíguo ou correndo risco de perder o prazo para prorrogação,Operacional,MODERADO,RESIDUAL,Evitar a perda do contrato por desídia,UGACO,MTI,Perda das prorrogações dos contratos geram demandas novas com custos elevados e tempo para conclusão,"1 -  A GCTO comunicará mensalmente (12 meses antes de vencer )  as areas demandantes sobre os vencimentos dos contratos e o check list com os documentos necessários para as  prorrogações, via SIGADOC.                                                                           2. 06 Meses antes do vencimento dos contratos , a GCTO intensifica o contato com area para alertar sobre os vencimentos dos contratos, via SIGADOC e  caso não seja respondidoo prazo máximo de 60dias do vencimento , então realiza o item 3.                                                                                 .                       3 Cobranças semanais das Unidades com cópia para os Chefes imediatos e Presidência para o cumprimento da demanda no prazo, realizadas por e-mail ou CI",01/01/2025,31/12/2025,00,EM ANDAMENTO,"35,00%",,UGACO,,,,,
R.UGACO.07,Realizar contratações emergenciais,Operacional,MODERADO,RESIDUAL,Evitar a perda dos contratos que devem ser prorrogados e planejar as aquisições em tempo hábil,UGACO,MTI,Contratos emergenciais devem ser realizados somente em casos estritamente necessários e com justificativa plausível,1 - Demandar CI para as Unidades com as recomendações.,01/01/2025,31/12/2025,00,EM ANDAMENTO,"45,00%",,UGACO,,,,,
R.UGACO.08,Fiscalização contratal ineficiente,Conformidade,ALTO,RESIDUAL,Evitar que os contratos sejam mal fiscalizados,GCTO,MTI,"As contratações devem ser monitoradas e acompanhadas, visando a entrega de um excelente serviço ou produto",1 - Curso de Capacitação em fiscalização de contratos (encaminhado e-mail para os responsáveis para arealização do curso que foi disponibilizado gratuitamente)                                                                                                            2 - Elaborar cartilha juntamente a UNISECI m para orientações.                                                                                                                                                                                                                                                                                                                                                                                      3.Portaria com após a publicação do novo RLC. ,01/01/2025,31/12/2024,00,CONCLUÍDA,"100,00%",,UGACO,,,,,
R.UGACO.09,"Receber, para si ou para outrem, vantagem(econômica ou não), direta ou indireta, por ação ou omissão decorrente das atribuições do Agente Público",Conformidade - Integridade,CRÍTICO,RESIDUAL,Receber vantagens financeiras,UGACO,MTI,"Evitar qualquer Infração Penal prevista em lei, com sanções administrativas e Penais.","1 - Atuar conforme principios da Legalidade, Imparcialidade, Moralidade, Publicidade e Ética",01/01/2025,31/12/2025,00,EM ANDAMENTO,"40,00%",,UGACO,,,,,
R.UGPES.01,Risco de Resistência à Mudança ,Risco Estratégico,CRÍTICO,INERENTE,Estabelecer um plano de comunicação claro e transparente para informar sobre as mudanças e seus benefícios,Silvia ,MTI,"Para garantir que os colaboradores compreendam os motivos, benefícios e impactos da mudança, minimizando a resistência e incentivando a adesão.","Criar um plano de comunicação com etapas definidas, incluindo cronograma, canais de comunicação, público-alvo e mensagens-chave. Utilizar diferentes canais de comunicação (e-mail, intranet, reuniões) para alcançar todos os colaboradores. Monitorar a efetividade do plano e realizar ajustes quando necessário.",01/01/2025,31/12/2025,,EM ANDAMENTO,"50,00%","O plano de comunicação está em 50% de sua elaboração, por isso ainda não subimos uma cópia para o ServiceNow, na área de tratamentos/iniciativas. O link para o plano, que está em andamento, é este:
PLANO DE COMUNICAÇÃO

Plano de comunicação
A divulgação dos benefícios ocorre apenas uma vez por ano, logo após a assinatura do Acordo Coletivo de Trabalho (ACT). O documento é publicado na intranet da MTI e no site do SIDPD. Como não há mudanças nos benefícios ao longo do ano, não fazemos divulgações constantes.

A comunicação para cargos comissionados é feita pela GPMM no momento da contratação. Já os contratados por tempo determinado recebem um termo orientativo, pois não têm acesso a todos os benefícios dos funcionários efetivos e comissionados.

Gestão dos Benefícios
A gestão dos benefícios está em 66,66% de conclusão. Essa métrica foi calculada com base nos pagamentos mensais, utilizando a fórmula (100% / 12 meses) x 8 meses (referente a agosto). Você pode conferir os detalhes nesta planilha:

INDICADORES - GPMM",UGPES,#REF!,9,9,,
R.UGPES.02,Risco de Resistência à Mudança ,Risco Estratégico,CRÍTICO,INERENTE,Liderança engajada - através do programa de gestão por competência,Silvia ,MTI,"Para garantir o apoio e o comprometimento da liderança com a mudança, influenciando positivamente a equipe e incentivando a adesão.","Desenvolver um programa de gestão por competências que incentive o desenvolvimento de habilidades de liderança, comunicação e gestão de mudanças. Realizar workshops e treinamentos com a liderança para fortalecer o engajamento e o compromisso com a mudança.",01/01/2025,31/12/2025,,EM ANDAMENTO,"13,84%","Andamento da Execução dos Planos de Desenvolvimento Individual (PDIs) – 2025

INDICADOR ESTRATÉGICO - PDI 2025",UGPES,,,,,
R.UGPES.03,Desmotivação dos colaboradores  ,Risco Estratégico,CRÍTICO,INERENTE,Implementar a Gestão por competência,Silvia ,MTI,"Para aumentar a motivação e o engajamento dos colaboradores, reconhecendo e recompensando o bom desempenho e oferecendo oportunidades de desenvolvimento.","Definir as competências essenciais para cada cargo, implementar um sistema de avaliação justo e transparente, oferecer feedback e reconhecimento, criar oportunidades de desenvolvimento e alinhar as recompensas às competências.",01/01/2025,31/12/2025,,EM ANDAMENTO,#REF!,#REF!,UGPES,,,,,
R.UGPES.04,"Não propor a  implantação da Politica de Gestão
 de Pessoas, bem como a avaliação periódica da 
política e do regimento de gestão de pessoas",Operacional,ALTO,RESIDUAL,Elaborar a Politica de Gestão de Pessoas,Silvia ,MTI,"Para estabelecer diretrizes claras para a gestão de pessoas, promovendo a consistência, a justiça e a conformidade legal, além de atrair e reter talentos.","Realizar uma análise das necessidades da empresa, envolver os stakeholders, definir diretrizes e procedimentos, comunicar a política, fornecer treinamento e revisar/atualizar a política periodicamente.",01/03/2024,31/12/2025,,EM ANDAMENTO,"96,00%","POLÍTICA DE GESTÃO DE PESSOAS - PROCESSO Nº MTI-PRO-2025/01218 (17/04/2025) 
""POLITICA DE GESTÃO DE PESSOAS
PROCESSO Nº MTI-PRO-2025/01218 (17/04/2025) 

Em 03/09/2025 - O processo retornou da SEPLAG e da PGE com o PARECERJURÍDICONº00231/2025/SGPG/PGEMT. 
Vamos atender as recomendações do parecer e encaminhar para GADP realizar a publicação""
",UGPES,,,,,
R.UGPES.05,Não executar o Plano Anual de Capacitação ,Operacional,MODERADO,INERENTE,Executar o Plano de Capacitação relativo ao ano de 2025,Ana Flávia,MTI,Para cumprir o indicador estratégico (PDI) e desenvolver as competências dos colaboradores.,"Elaborar e executar o Plano de Capacitação 2025, incluindo treinamentos, workshops e outras atividades de desenvolvimento.",01/01/2025,31/12/2025,,EM ANDAMENTO,"13,84%","Andamento da Execução dos Planos de Desenvolvimento Individual (PDIs) – 2025

INDICADOR ESTRATÉGICO - PDI 2025",UGPES,,,,,
R.UGPES.06,Não realizar a Pesquisa de Clima,Operacional,MODERADO,INERENTE,Realizar a Pesquisa de Clima,Ana Flávia,MTI,Para cumprir o Regulamento de Pesquisa de Clima e obter informações sobre o ambiente de trabalho.,"Definir o questionário, cadastrar no sistema ELOFY, aplicar a pesquisa, apurar os resultados e publicar na Intranet.",01/01/2025,31/12/2025,,CONCLUÍDA,"100,00%","Em 2024, foram realizadas duas pesquisas de Clima Organizacional (maio e novembro), com resultados disponíveis na Intranet.

 Para 2025, a proposta foi consolidar a pesquisa como um processo anual, aplicada em maio, com o objetivo de mensurar o nível de satisfação dos colaboradores e subsidiar estratégias de melhoria para o ano seguinte. A meta definida no Plano Estratégico da MTI é alcançar 75% de satisfação.

A pesquisa de 2025 ocorreu entre 13 e 26 de maio, com convite a 248 colaboradores. Até o encerramento, em 04 de junho de 2025, foram registradas 181 respostas, representando 73% de participação. Dentre os respondentes, 72,37% declararam estar satisfeitos ou muito satisfeitos com os programas de saúde e bem-estar promovidos pela MTI.
A meta estabelecida é alcançar um índice de satisfação de 75% entre os colaboradores, conforme previsto no PLANO ESTRATÉGICO -  MTI, publicado na INTRANET link: https://intranet.mti.mt.gov.br/plano-estrategico
",UGPES,,,,,
R.UGPES.07,Não realizar o programa de Qualidade de Vida,Operacional,MODERADO,INERENTE,Executar o programa de qualidade de vida,Ana Flávia,MTI,"Para promover a saúde e o bem-estar dos colaboradores, melhorando a qualidade de vida no trabalho.","Executar as ações que estão elencadas no Programa de Qualidade de Vida, como atividades físicas, palestras sobre saúde mental, campanhas de conscientização, etc.",01/01/2025,31/12/2025,,EM ANDAMENTO,"98,93%","EXECUÇÃO DO PROGRAMA DE QUALIDADE DE VIDA 2025

QUALIDADE DE VIDA - INDICADOR

O Programa de Qualidade de Vida da MTI está em pleno andamento, com um forte compromisso com o bem-estar dos colaboradores.

Ações Previstas: 281
Ações Realizadas: 278
Taxa de Execução: 98,93

O programa tem uma execução robusta e diversificada, buscando atender às necessidades de saúde física, mental e espiritual dos colaboradores..

",UGPES,,,,,
R.UGPES.08,Não gerenciar ponto eletrônico e realizar debidos indevidos;,Conformidade,ALTO,INERENTE,"Implementar Políticas Claras de Controle de Ponto: Estabelecer políticas claras e procedimentos para o registro e controle do ponto eletrônico, definindo regras específicas para horas de trabalho, intervalos e horas extras.

Automatizar o Registro de Ponto: Utilizar sistemas automatizados de registro de ponto eletrônico que garantam a precisão e integridade dos dados, minimizando a possibilidade de erros humanos.

Monitorar e Revisar Regularmente os Registros de Ponto: Realizar auditorias periódicas nos registros de ponto para identificar e corrigir possíveis discrepâncias ou irregularidades, garantindo a conformidade com as políticas estabelecidas.

Fornecer Treinamento e Conscientização: Capacitar os funcionários e gestores sobre as políticas e procedimentos de registro de ponto, destacando a importância da precisão e integridade dos registros para evitar descontos indevidos.

Implementar Controles de Aprovação: Estabelecer um processo de revisão e aprovação dos registros de ponto por parte dos gestores, garantindo que qualquer alteração ou desconto seja justificado e autorizado adequadamente.",Rogério,MTI,"Para reduzir o descontentamento dos funcionários, evitar riscos legais e trabalhistas e melhorar a reputação da empresa.","Realizando a Gestão de Ponto via sistemas Protheus e
Estabelecer políticas claras, automatizar o registro, monitorar os registros, fornecer treinamento e implementar controles de aprovação.",01/01/2025,31/12/2025,,EM ANDAMENTO,"1,32%","
INDICADORES - DE GESTÃO - GPMM

A Gerência de Provimento, Manutenção e Monitoramento (GPMM) é responsável pela gestão mensal do ponto dos empregados públicos da MTI, atividade que constitui um dos controles essenciais para mitigar riscos relacionados à assiduidade e conformidade da jornada de trabalho.
O relatório de ponto é fechado no quinto dia útil do mês subsequente, tomando como base os registros efetuados no Portal RH. Faltas não justificadas dentro do prazo estabelecido são automaticamente descontadas em folha de pagamento, assegurando a correção e integridade das informações.
Adicionalmente, a GPMM acompanha o indicador operacional de absenteísmo interno, também monitorado pela UGGOV, preenchido mensalmente, o que permite avaliar tendências, apoiar a tomada de decisão e reduzir riscos associados à ausência não planejada de colaboradores.",UGPES,,,,,
R.UGPES.09,Não Monitorar a privacidade de dados,Conformidade,ALTO,INERENTE,"Desenvolver Políticas de Privacidade de Dados Específicas: Criar políticas de privacidade de dados específicas para a Unidade de Gestão de Pessoas, abordando como os dados dos funcionários são coletados, armazenados, processados e protegidos.


Fornecer Treinamento Específico em Privacidade de Dados: Oferecer treinamento especializado em privacidade de dados para os funcionários da Unidade de Gestão de Pessoas, destacando a importância da proteção dos dados dos funcionários e os procedimentos corretos para lidar com informações confidenciais.


Implementar Controles de Acesso e Autorização: Estabelecer controles rigorosos de acesso e autorização para garantir que apenas funcionários autorizados tenham acesso aos dados pessoais dos funcionários, de acordo com as necessidades de trabalho.


Realizar Avaliações de Impacto de Privacidade de Dados: Conduzir avaliações de impacto de privacidade de dados para identificar e avaliar os riscos associados ao processamento de dados pessoais na Unidade de Gestão de Pessoas e implementar medidas de mitigação apropriadas.


Monitorar o Cumprimento da LGPD: Monitorar regularmente o cumprimento das disposições da LGPD e outras regulamentações relevantes de proteção de dados na Unidade de Gestão de Pessoas, garantindo conformidade com as leis e regulamentos aplicáveis.",Rogério,MTI,"Essas medidas visam criar um ambiente seguro e confiável para o tratamento dos dados pessoais dos funcionários na Unidade de Gestão de Pessoas, minimizando os riscos de violações de privacidade ou não conformidade com regulamentações de proteção de dados.","Designar um profissional de privacidade de dados na Unidade de Gestão de Pessoas para liderar as iniciativas relacionadas à proteção de dados dos funcionários.
Estabelecer procedimentos claros para garantir a segurança e confidencialidade dos dados dos funcionários, incluindo a utilização de medidas técnicas e organizacionais apropriadas.
Manter registros detalhados das atividades de processamento de dados dos funcionários e garantir a transparência no tratamento desses dados.
Implementar políticas de retenção de dados para garantir que os dados dos funcionários sejam armazenados apenas pelo tempo necessário e de acordo com as obrigações legais e regulatórias.
Ao adotar essas medidas de mitigação, a Unidade de Gestão de Pessoas pode reduzir significativamente os riscos associados à falta de monitoramento da privacidade de dados dos funcionários e garantir a proteção adequada das informações confidenciais.",01/01/2025,31/12/2025,,EM ANDAMENTO,"40,00%","Elaboração de documentos como contratos de trabalho, aditivos contratuais, termos de proteção de dados e termos de sigilo, em conjunto com o Comitê da LGPD, a UNICRS e a UGPES. Esses documentos visam estabelecer regras claras para a gestão de dados pessoais utilizados nas relações com diversos perfis de colaboradores da MTI, incluindo: empregados efetivos, exclusivamente comissionados, estatutários cedidos (com ou sem cargo), jovens aprendizes, residentes técnicos, estagiários de graduação e pós-graduação, contratados por tempo determinado e profissionais terceirizados.
",UGPES,,,,,
R.UGADM.01,Não coordenar a gestão do arquivo permanente,Operacional,MODERADO,RESIDUAL,Coordenar efetivamente a gestão do arquivo permanente,Marcela ,MTI,"Gestão de documentos em cumprimento aos Decretos Estaduais nº 1.654/97, de 29 de agosto de 1997 e 1.509/2008, de 12 de agosto de 2008, a Secretaria de Estado de Gestão, através do Arquivo Público de Mato Grosso, tem a atribuição de orientar os órgãos públicos do Estado de Mato Grosso sobre a implantação ou implementação da Política de Gestão de Documentos",Treinamento SEPLAG,01/02/2025,20/12/2025,,EM ANDAMENTO,"80,00%"," 
02º ciclo de eliminação dos documentos físicos que já cumpriram os prazos de guarda 2025

2° Ciclo - Realizado 
3° Ciclo - até 31/10/2025

",UGADM,"80,00%",5,5,,
R.UGADM.02,Falta de planejamento e distribuição dos materiais de consumo,Operacional,MODERADO,RESIDUAL,"Ocorre quando não há um planejamento adequado para a aquisição e distribuição de materiais de consumo, resultando em falta de insumos para as atividades operacionais.",Marco ,MTI ,Utilizar o Sistema já utulizado pela MTI ,Realizar a contabilidade dos materiais no sistema e parametrizar as regras no Protheus juntamente com o Gestor do Sistema ,02/02/2025,21/12/2025,,EM ANDAMENTO,"80,00%",Foi realizado este mes de Julho o Inventário semestral. Entregue ao presidente da Comissão ,UGADM,,,,,
R.UGADM.03,Não realizar manutenção predial ,Operacional,MODERADO,RESIDUAL,Formalizar dos processos para amnter um bom andamento ,Marcela ,MTI ,Dar suporte a equipe GETS nas demandas solicitadas.,Realizar a contratação com a empresa ,03/02/2025,22/12/2025,,EM ANDAMENTO,"80,00%",,UGADM,,,,,
R.UGADM.04,"Roubo, perda ou má utilização de bens permanentes.",Operacional,ALTO,RESIDUAL,Implantação do Módulo Patrimonio no Protheus ,Marco ,MTI,Utilizar o Sistema já utulizado pela MTI ,Realizar a contabilidade dos materiais no sistema e parametrizar as regras no Protheus juntamente com o Gestor do Sistema ,04/02/2025,23/12/2025,,EM ANDAMENTO,"80,00%",,UGADM,,,,,
