CONTADOR,Competência,Programa,Ação,Subação/Entrega (SA),(SA) Início,(SA) Término,(SA) Produto,(SA) Unid. Medida,(SA) Quantidade,(SA) Responsável,Etapa (ET),(ET) Início,(ET) Término,(ET) Responsável,(MC) Descrição do Item de Despesa,(MC) Unid. Medida,(MC) Quantidade,(MC) Valor Unitário,(MC) Valor Total,(MC) Grupo ,(MC) Natureza,(MC) Fonte,(MC) IDU,CONTRATO,"Plano Estratégico (A)
digite entre 0-5
0 = menor
5 = maior","Gravidade (B)
digite entre 1-5
1 = menor
5 = maior","Urgência (C)
digite entre 1-5
1 = menor
5 = maior","Tendência (d)
digite entre 1-5
1 = menor
5 = maior",Prioridade acumulada (A*B*C*D)
2014,-,36,2014-Publicidade institucional e propaganda,,,,,,,,,,,,"Palestrante, maketing e divulgação do evento, fornecedores e etc.",Unidade,01,"R$ 150.000,00","R$ 150.000,00",Grupo_3,3.3.90.39.023,1.501.0000,OD,Novo a contratar 2025,3,2,3,2,36
2014,-,36,2014-Publicidade institucional e propaganda,,,,,,,,1.2_Monitorar o plano de comunicação e marketing,02/01/2025,31/12/2025,Gabriela Boscov Monteiro Vieira,SEM CUSTO,,,,"R$ 0,00",,,,,,,,,,0
2014,-,36,2014-Publicidade institucional e propaganda,,,,,,,,1.3_Avaliar o plano de comunicação e marketing,02/01/2025,31/12/2025,Gabriela Boscov Monteiro Vieira,SEM CUSTO,,,,"R$ 0,00",,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2259,-,36,2259-Manutenção dos Benefícios adquiridos do Empregado Público,1_Execução do programa de valorização para os empregados da MTI,02/01/2025,31/12/2025,Programa executado,Percentual,100,Silvia Fernandes Batista,1.1_FAZER GESTÃO DO CONTRATO DE FORNECIMENTO DE VALE ALIMENTAÇÃO  E VALE TRANSPORTE,02/01/2025,31/12/2025,Silvia Márcia Fernandes,SODEXO - Sodexo Pass do Brasil,Mês,12,"R$ 389.620,00","R$ 4.675.440,00",Grupo_3,3.3.90.39.60,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2259,-,36,2259-Manutenção dos Benefícios adquiridos do Empregado Público,,,,,,,,,,,,CAJU - Empresa Brasileira de Beneficios e Pagamentos Ltda ,Mês,12,"R$ 21.780,00","R$ 261.360,00",Grupo_3,3.3.90.39.60,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2259,-,36,2259-Manutenção dos Benefícios adquiridos do Empregado Público,,,,,,,,,,,,IFOOD -  Empresa IFFOD Beneficios e Serviços Ltda,Mês,12,"R$ 42.350,00","R$ 508.200,00",Grupo_3,3.3.90.39.60,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2259,-,36,2259-Manutenção dos Benefícios adquiridos do Empregado Público,,,,,,,,,,,,VOLUS - Instituição de Pagamento Ltda ,Mês,12,"R$ 1,00","R$ 12,00",Grupo_3,3.3.90.39.60,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2259,-,36,2259-Manutenção dos Benefícios adquiridos do Empregado Público,,,,,,,,,,,,Vale transporte,Unidade,12,"R$ 2.331,00","R$ 27.972,00",Grupo_3,3.3.90.49.008,1.501.0000,OD,Novo a contratar 2025,5,5,5,5,625
2259,-,36,2259-Manutenção dos Benefícios adquiridos do Empregado Público,2_Execução dos programas de saúde do trabalhador conforme legislação vigente,02/01/2025,31/12/2025,Programa executado,Percentual,100,Silvia Fernandes Batista,2.1_EXECUTAR PROGRAMA DE QUALIDADE DE VIDA,02/01/2025,31/12/2025,Silvia Márcia Fernandes,"Executar o PCMSO, PGR, PPP, Análise Ergonômica, Ginástica Laboral",Mês,06,"R$ 17.709,00","R$ 106.254,00",Grupo_3,3.3.90.39.033,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2259,-,36,2259-Manutenção dos Benefícios adquiridos do Empregado Público,,,,,,,,,,,,"Executar o PCMSO, PGR, PPP, Análise Ergonômica, Ginástica Laboral",Mês,06,"R$ 25.000,00","R$ 150.000,00",Grupo_3,3.3.90.39.033,1.501.0000,OD,Novo a contratar 2025,5,5,5,5,625
2259,-,36,2259-Manutenção dos Benefícios adquiridos do Empregado Público,,,,,,,,,,,,Unimed Saúde - Assistência médica Hospitalar (ACT),Mês,12,"R$ 62.602,00","R$ 751.224,00",Grupo_3,3.3.90.08.006,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2854,,36,2854- Pagamento da contribuição do patrocinador para a Previdência Complementar,1_Contribuição a entidade fechada de previdência complementar dos servidores da MTI,02/01/2025,31/12/2025,Pagamento realizado,Percentual,100,Silvia Fernandes Batista,"1.1_ Arcar com pagamento de contrapartida a entidades fechadas
de previdência",02/01/2025,31/12/2025,Rogerio William Rodrigues Silva,"Pagamento de contribuição
a entidades fechadas de
previdência.",Mês,12,"R$ 156.358,00","R$ 1.876.296,00",Grupo_1,3.1.90.07.001,1.500.0000,DO,Não,5,5,5,5,625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4491,-,36,4491-Pagamento de verbas indenizatória a servidores estaduais - VI,1_Pagamento de verbas indenizatórias a servidores estaduais.,02/01/2025,31/12/2025,Pagamento realizado,Unidade,18,Silvia Fernandes Batista,1.1_Realizar o pagamento de verbas indenizatórias a servidores estaduais.,02/01/2025,31/12/2025,Rogerio William Rodrigues Silva,Pagamento de JETONS para conselheiros  + Verba Indenizatórias,Ano,01,"R$ 1.331.988,00","R$ 1.331.988,00",Grupo_3,3.3.90.93.123,1.501.0000,DO,Não,5,5,5,5,625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8028,-,994,8028-Amortização e encargos da dívida interna,1_Pagamento do principal do parcelamento da divida da Lei 11941/2009 e Parcelamento Simplificado.,02/01/2025,31/12/2025,Pagamento realizado,Mês,12,Alcindo Fernando da Silva,1.2_Realizar pagamento do principal do parcelamento da divida da Lei 11941/2009 e Parcelamento Simplificado.,02/01/2025,31/12/2025,Alcindo Fernando da Silva,"PAGAMENTO DO PRINCIPAL DO PARCELAMENTO DA DÍVIDA DA LEI 11941/09, PARCELAMENTO PREVIDENCIÁRIO PROC.",Ano,01,"R$ 969.694,00","R$ 969.694,00",Grupo_6,4.6.90.71.033,1.501.0000,DO,Não,3,3,3,1,27
8028,-,994,8028-Amortização e encargos da dívida interna,2_Pagamento dos encargos do parcelamento da divida da Lei 11941/2009 e Parcelamento Simplificado.,03/01/2025,01/01/2026,Pagamento realizado,Mês,12,Alcindo Fernando da Silva,1.1_Realizar recolhimento dos juros referentes ao parcelamento conforme Lei 11941/2009 e Parcelamento Simplificado.,02/01/2025,31/12/2025,Alcindo Fernando da Silva,ENCARGOS DO PARCELAMENTO DA DÍVIDA RECOLHIDOS,Mês,12,"R$ 30.000,00","R$ 360.000,00",Grupo_2,3.2.90.21.020,1.501.0000,DO,Não,3,3,3,1,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8002,-,996,8002-Recolhimento do PIS-PASEP e pagamento do abono,1_Recolhimento do PIS-PASEP e pagamento do abono,02/01/2025,31/12/2025,Obrigação legal cumprida,Percentual,100,Alcindo Fernando da Silva,1.1-Recolher PASEP Mensalmente,02/01/2025,31/12/2025,Alcindo Fernando da Silva,"Pagamento de PASEP., Legislação Brasileira Trabalhista, Decreto Lei 78276/1976., Pagamento de PASEP.",Mês,12,"R$ 97.020,00","R$ 1.164.240,00",Grupo_3,3.3.90.47.006,1.501.0000,DO,Não,3,3,3,2,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8023,-,998,8023-Cumprimento de sentencas judiciais transitadas em julgado - Adm. Indireta,1_Preservação dos interesses jurídicos da Empresa,02/01/2025,31/12/2025,Assistência efetuada,Percentual,100,Fabiola Colino Bispo Santos,1.1_Cumprir as sentenças judiciais,02/01/2025,31/12/2025,Fabiola Colino Bispo Santos,CUMPRIMENTO DE SENTENÇAS JUDICIAIS TRANSITADAS EM JULGADO - CUSTAS JUDICIAIS,Ano,01,"R$ 2.000.000,00","R$ 2.000.000,00",Grupo_3,3.3.90.91.006,1.501.0000,DO,Não,4,5,4,3,240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,-,996,8039-Encargos com obrigações tributárias e contributivas,1_Cumprimento com as obrigações legais,02/01/2025,31/12/2025,Obrigação legal cumprida,Mês,12,Alcindo Fernando da Silva,1.1_Recolher Contribuição Social sobre lucro liquido e IRPJ,02/01/2025,31/12/2025,Alcindo Fernando da Silva,Pagamento de Obrigações tributárias e Contributivas sobre o resultado fiscal da empresa,Unidade,12,"R$ 224.667,00","R$ 2.696.004,00",Grupo_3,3.3.90.47.001,1.501.0000,DO,Não,3,3,3,4,108
8039,-,996,8039-Encargos com obrigações tributárias e contributivas,,,,,,,,1.2_Recolher COFINS dos serviços prestados pela MTI,02/01/2025,31/12/2025,Alcindo Fernando da Silva,Recolhimento de COFINS dos serviços prestados pela MTI,Unidade,01,"R$ 4.572.899,00","R$ 4.572.899,00",Grupo_3,3.3.90.47.005,1.501.0000,DO,Não,3,3,3,4,108
8039,-,996,8039-Encargos com obrigações tributárias e contributivas,,,,,,,,,,,,Recolhimento de COFINS dos serviços prestados pela MTI,Unidade,01,"R$ 789.661,00","R$ 789.661,00",Grupo_3,3.3.90.47.005,1.500.0000,DO,Não,3,3,3,4,108
8039,-,996,8039-Encargos com obrigações tributárias e contributivas,,,,,,,,1.3_Recolher ISSQN dos serviços prestados pela MTI,02/01/2025,31/12/2025,Alcindo Fernando da Silva,Recolhimento de ISSQN dos serviços prestados pela MTI à clientes fora de MT,Unidade,12,"R$ 62.500,00","R$ 750.000,00",Grupo_3,3.3.90.47.010,1.500.0000,DO,Não,3,3,3,4,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8026,-,996,8026-Pagamento de emendas parlamentares impositivas,1_Recebimento de Emenda Parlamentar,02/01/2025,31/12/2025,Produto exclusivo para Emendas Parlamentares,Unidade,01,Thaynara Martins de Souza,1.1_Receber Emenda Parlamentar,02/01/2025,31/12/2025,Thaynara Martins de Souza,Objeto da Emenda,Unidade,01,"R$ 0,00","R$ 0,00",Grupo_3,3.3.50.41.000,1.501.0000,DO,Não,3,3,3,2,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,-,536,2787-Manutenção de soluções corporativas de TIC,1_Disponibilização de Serviços Especializados de Datacenter Corporativo e Facilities,02/01/2025,31/12/2025,Infraestrutura do datacenter mantida,Percentual,100,Fernando Vieira Duarte,Administrar Datacenter Corporativo,02/01/2025,31/12/2025,Fernando Vieira Duarte,Prestação de serviços especializados de engenharia para o desenvolvimento do projeto de retrofit do Datacenter  - Contrato 005/2024 - TRUSTEDDATA ,Anual,01,"R$ 41.940,00","R$ 41.940,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,"Contratar empresa especializada
para manter sistema elétrico e de
refrigeração do Data Center da MTI - Contrato 018/2021 - GREEN4T ",Mensal,12,"R$ 150.000,00","R$ 1.800.000,00",Grupo_3,3.3.90.40.012,1.759.0000,CD,Existente / Aditivo,5,5,5,5,625
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilizar serviços especializados para manutenção do datacenter e facilities ,Anual,01,"R$ 500.000,00","R$ 500.000,00",Grupo_3,3.3.90.40.001,1.759.0000,OD,Novo a contratar 2025,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilizar serviços especializados para manutenção do datacenter e facilities ,Anual,01,"R$ 500.000,00","R$ 500.000,00",Grupo_4,4.4.90.40.012,1.501.0000,OD,Novo a contratar 2025,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,2_Disponibilização Serviços de Nuvem Híbrida e Desaster Recovery,06/01/2025,04/01/2026,Software disponibilizado,Percentual,100,Fernando Vieira Duarte,Disponibilizar Serviços de Nuvem Híbrida e Desaster Recovery,06/01/2025,04/01/2026,Fernando Vieira Duarte,Contratação de Serviço de infraestrutura da Zadara que suporte Solução de BigData (Cloudera) - Autoconsumo - Contrato 06/2023/MTI,Mensal,12,"R$ 580.000,00","R$ 6.960.000,00",Grupo_3,3.3.90.40.008,1.501.0000,CD,Existente / Aditivo,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Insumo para Provimento de Infraestrutura em Nuvem Pública em modelo SA (Subscription Agreement) - Contrato 002/2024 - RJR,Mensal,12,"R$ 225.040,00","R$ 2.700.480,00",Grupo_3,3.3.90.40.008,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilizar serviços especializados de nuvem híbrida distribuida e DR (grupo 3),Anual,01,"R$ 3.366.260,00","R$ 3.366.260,00",Grupo_3,3.3.90.40.008,1.501.0000,OD,Novo a contratar 2025,5,5,5,5,625
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilizar serviços especializados de nuvem híbrida distribuida e DR (grupo 4),Anual,01,"R$ 1.000.000,00","R$ 1.000.000,00",Grupo_4,4.4.90.40.008,1.759.0000,OD,Novo a contratar 2025,5,5,5,5,625
2787,-,536,2787-Manutenção de soluções corporativas de TIC,3_Disponibilização de Serviços de Banco de dados em Nuvem,10/01/2025,08/01/2026,Banco de dados implementado,Percentual,100,Fernando Vieira Duarte,Manter Banco de Dados Corporativo disponível,10/01/2025,08/01/2026,Fernando Vieira Duarte,Contratação de Empresa especializada para fornecimento de Soluções e Serviços de Nuvem Privada Oracle - Contrato 026/2023 Accerte,Mensal,12,"R$ 1.539.103,00","R$ 18.469.236,00",Grupo_3,3.3.90.40.008,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Serviços de Suporte e Garantia em Banco de dados Open - Contrato 028/2022 - FRIDOM e Contrato 029/2022 - VOYAGER,Mensal,12,"R$ 50.000,00","R$ 600.000,00",Grupo_3,3.3.90.40.008,1.501.0000,CD,Existente / Aditivo,4,5,5,5,500
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Serviços especializados em Banco de dados Open - Contrato 028/2022 - FRIDOM e Contrato 029/2022 - VOYAGER,Unidade,3600,"R$ 110,00","R$ 396.000,00",Grupo_3,3.3.90.40.008,1.501.0000,CD,Existente / Aditivo,4,5,5,5,500
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,"Contratação de Empresa especializada no suporte técnico, garantia e monitoramento em Banco de dados SQL Server (3 Instâncias/Cluster) - Contrato 010/2024 - VOYAGER",Mensal,12,"R$ 22.027,00","R$ 264.324,00",Grupo_3,3.3.90.40.008,1.501.0000,CD,Existente / Aditivo,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilizar serviços especializados de banco de dados,Anual,01,"R$ 50.000,00","R$ 50.000,00",Grupo_3,3.3.90.40.008,1.501.0000,OD,Novo a contratar 2025,5,4,3,3,180
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilizar serviços especializados de banco de dados ,Anual,01,"R$ 50.000,00","R$ 50.000,00",Grupo_4,4.4.90.40.008,1.759.0000,OD,Novo a contratar 2025,5,3,4,3,180
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Serviços Técnicos Especializados Sob Demanda  - Contrato 010/2024 - VOYAGER,Unidade,1800,"R$ 40,00","R$ 72.000,00",Grupo_3,3.3.90.40.008,1.501.0000,CD,Existente / Aditivo,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,4_Disponibilização de Soluções Digitais (Softwares e Aplicações em Microserviços) ,17/01/2025,15/01/2026,Software disponibilizado,Percentual,100,Fernando Vieira Duarte,Disponibilizar Soluções Digitais (Aplicações em Microserviços) ,17/01/2025,15/01/2026,Fernando Vieira Duarte,Disponibilizar Certificados SSL tipo OV sob demanda - Contrato 012/2024 - X.DIGITAL BRASIL,Unidade,200,"R$ 209,00","R$ 41.800,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,2,2,2,2,16
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Solução de Balanceamento e Segurança de aplicações - Contrato 016/2022 - REDISUL ,Mensal,12,"R$ 141.000,00","R$ 1.692.000,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilizar aplicações em microserviços ,Anual,01,"R$ 3.366.260,00","R$ 3.366.260,00",Grupo_3,3.3.90.40.008,1.501.0000,OD,Novo a contratar 2025,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilizar aplicações em microserviços ,Anual,01,"R$ 50.000,00","R$ 50.000,00",Grupo_4,4.4.90.40.008,1.759.0000,OD,Novo a contratar 2025,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,Disponibilizar Soluções Digitais (Portal Corporativo) ,21/01/2025,19/01/2026,Claudia Zanquette,"Manter a subscrição, suporte e atualização da ferramenta Liferay - Contrato 017/2021 - PITANG ",Anual,01,"R$ 667.200,00","R$ 667.200,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,5,5,5,4,500
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilização de Portal Corporativo de Governo (grupo 3),Anual,01,"R$ 50.000,00","R$ 50.000,00",Grupo_3,3.3.90.40.008,1.501.0000,OD,Novo a contratar 2025,2,2,2,2,16
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilização de Portal Corporativo de Governo (grupo 4),Anual,01,"R$ 50.000,00","R$ 50.000,00",Grupo_4,4.4.90.40.008,1.759.0000,OD,Novo a contratar 2025,4,4,4,3,192
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,Disponibilizar Arquitetura de Soluções Digitais,24/01/2025,22/01/2026,Fernando Tonon de Rossi,Prover Arquitetura de Soluções Digitais de Governo (grupo 3),Anual,01,"R$ 50.000,00","R$ 50.000,00",Grupo_3,3.3.90.40.008,1.500.0000,OD,Novo a contratar 2025,4,4,4,3,192
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Prover Arquitetura de Soluções Digitais de Governo (grupo 4),Anual,01,"R$ 50.000,00","R$ 50.000,00",Grupo_4,4.4.90.40.008,1.759.0000,OD,Novo a contratar 2025,5,4,4,4,320
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,Disponibilizar Soluções Digitais (Software),26/01/2025,24/01/2026,Claudia Zanquette,"Manter a subscrição, suporte e atualização das ferramentas Genexus - Contrato 008/2021 - ARTECH ",Anual,01,"R$ 46.000,00","R$ 46.000,00",Grupo_3,3.3.90.40.001,1.500.0000,CD,Existente / Aditivo,4,4,3,3,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,"Manter a subscrição, suporte e atualização das ferramentas WorkWithPlus - Contrato 007/2021 - HEURÍSTICA ",Anual,01,"R$ 16.000,00","R$ 16.000,00",Grupo_3,3.3.90.40.001,1.500.0000,CD,Existente / Aditivo,4,4,3,3,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,"Disponibilizar ferramentas de desenvolvimento de software Low-code:  Licença de GXserver Small Business, licenças Genexus Professional Edition, licenças Gerador Java para Genexus, licenças de Work With Plus - Contrato 046/2022 - ARTECH ",Unidade,01,"R$ 20.000,00","R$ 20.000,00",Grupo_3,3.3.90.40.001,1.500.0000,CD,Existente / Aditivo,4,4,3,3,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,"Upgrades de softwares fabricados pela Dvelop SW S.A., (WorkWithPlus for Web (Ex-WorkWithPlus) e (Upgrade WorkWithPlus for Web (ex - WorkWithPlus).- Contrato 040/2022 - HEURÍSTICA ",Anual,01,"R$ 8.000,00","R$ 8.000,00",Grupo_3,3.3.90.40.001,1.500.0000,CD,Existente / Aditivo,4,4,3,3,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,"Licenças perpétuas GeneXus
Java (GeneXus Professional
Edition + Gerador Java)
Gerador Native Mobile (ExGerador Smart Devices) - Contrato 029/2023 - ARTECH ",Anual,01,"R$ 160.000,00","R$ 160.000,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,2,2,2,2,16
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,"Suporte e atualização de 17 licencas do WorkWithPlus for Web (ExWorkWithPlus)
3 licencas do WorkWithPlus for Native Mobile (ExSmartDevicePlus) utilizadas no Programa FICDEV",Anual,01,"R$ 20.000,00","R$ 20.000,00",Grupo_3,3.3.90.40.001,1.500.0000,OD,Novo a contratar 2025,2,2,2,2,16
2787,-,536,2787-Manutenção de soluções corporativas de TIC,"5_Amplicação da Capacidade de entrega de Soluções, Serviços e Monitoramento de TIC",01/02/2025,30/01/2026,Monitoramento realizado,Percentual,100,Fernando Vieira Duarte,Monitorar ambiente de TIC,01/02/2025,30/01/2026,Fernando Vieira Duarte,Contratação de solução de APM - Contrato 047/2022 - RIKE IS ,Unidade,01,"R$ 4.500.000,00","R$ 4.500.000,00",Grupo_4,4.4.90.40.001,1.759.0000,CD,Existente / Aditivo,5,3,3,3,135
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de seviços especializados para solução de APM - Contrato 047/2022 - RIKE IS ,Mensal,06,"R$ 60.000,00","R$ 360.000,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,5,3,3,3,135
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Serviços de Monitoramento de Infraestrutura de TIC - ZABBIX/GRAFARA - Contrato 036/2022 - VOYAGER ,Mensal,12,"R$ 25.000,00","R$ 300.000,00",Grupo_3,3.3.90.40.001,1.759.0000,CD,Existente / Aditivo,5,3,4,3,180
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Serviços Especializados de Monitoramento de Infraestrutura de TIC - ZABBIX/GRAFARA (Sob demanda) - Contrato 036/2022 - VOYAGER ,Unidade,1200,"R$ 350,00","R$ 420.000,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,5,3,4,3,180
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,Ampliar Capacidade de Soluções Digitais,05/02/2025,03/02/2026,Fernando Vieira Duarte,"Ampliar capacidade de entrega de soluções, serviços e monitoramento de tic (grupo 3)",Anual,01,"R$ 50.000,00","R$ 50.000,00",Grupo_3,3.3.90.40.001,1.500.0000,OD,Novo a contratar 2025,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,"Ampliar capacidade de entrega de soluções, serviços e monitoramento de tic (grupo 4)",Anual,01,"R$ 50.000,00","R$ 50.000,00",Grupo_4,4.4.90.40.001,1.759.0000,OD,Novo a contratar 2025,4,4,4,4,256
2787,-,536,2787-Manutenção de soluções corporativas de TIC,6_Disponibilização de Central de Atendimento Corporativo de Governo,07/02/2025,05/02/2026,Sistema implantado,Percentual,100,Fernando César Pereira Bonfim,Disponibilizar Central de Atendimento Corporativo do Governo,07/02/2025,05/02/2026,Fernando César Pereira Bonfim,Contratação de serviços terceiros  em atendiemntos de chamados nível 1 para atendimento à MTI - Contrato 025/2022 - IMPERIAL,Mensal,06,"R$ 30.000,00","R$ 180.000,00",Grupo_3,3.3.90.40.001,1.500.0000,CD,Existente / Aditivo,5,5,5,5,625
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de serviços terceiros  em atendiemntos de chamados nível 2 (analista de redes/infraestrutura) para atendimento à MTI - Contrato 003/2023 - DATAGROUP ,Mensal,06,"R$ 35.000,00","R$ 210.000,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,5,4,3,3,180
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilizar de Central de Atendimento Corporativo de Governo,Anual,01,"R$ 500.000,00","R$ 500.000,00",Grupo_3,3.3.90.40.001,1.501.0000,OD,Novo a contratar 2025,3,3,4,4,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,7_Disponibilização de Soluções de Segurança Cibernética,10/02/2025,08/02/2026,Ferramenta Disponibilizada,Percentual,100,Saffyk Vicuna,Disponibilizar Soluções de Segurança Cibernética,10/02/2025,08/02/2026,Saffyk Vicuna,Atualização e suporte Ferramenta de Segurança Lógica de Infraestrutura na MTI - Antivirus - Contrato 024/2022 - NETWORK SECURE  ,Anual,01,"R$ 2.100.000,00","R$ 2.100.000,00",Grupo_3,3.3.90.40.001,1.759.0000,CD,Existente / Aditivo,5,5,5,5,625
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Ferramentas de Segurança analise Vulnerabilidade - Contrato 045/2022 - IT-ONE ,Unidade,01,"R$ 0,00","R$ 13.786,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,4,3,3,4,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Serviços para Ferramentas de Segurança em analise Vulnerabilidade - Contrato 045/2022 - IT-ONE,Unidade,750,"R$ 350,00","R$ 262.500,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,4,3,3,4,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Solução de gerenciamento de Identidades e acessos privilegiados - Contrato 002/2023 - ALLTECH,Unidade,01,"R$ 384,00","R$ 384,00",Grupo_4,4.4.90.40.001,1.759.0000,CD,Existente / Aditivo,4,3,3,4,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Serviços para Solução de gerenciamento de Identidades e acessos privilegiados - Contrato 002/2023 - ALLTECH,Unidade,800,"R$ 200,00","R$ 160.000,00",Grupo_3,3.3.90.40.001,1.500.0000,CD,Existente / Aditivo,4,3,3,4,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Contratação de Serviço especializado de análise de vulnerabilidade de Código,Anual,01,"R$ 1.500.000,00","R$ 1.500.000,00",Grupo_3,3.3.90.40.001,1.501.0000,CD,Existente / Aditivo,5,5,5,5,625
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilização de Solução de Segurança Cibernética ,Anual,01,"R$ 1.000.000,00","R$ 1.000.000,00",Grupo_3,3.3.90.40.001,1.501.0000,OD,Novo a contratar 2025,4,4,3,3,144
2787,-,536,2787-Manutenção de soluções corporativas de TIC,,,,,,,,,,,,Disponibilização de Solução de Segurança Cibernética ,Anual,01,"R$ 2.007.816,00","R$ 2.007.816,00",Grupo_4,4.4.90.40.001,1.759.0000,OD,Novo a contratar 2025,4,4,3,3,144
