CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,RISCO INERENTE,RISCO RESIDUAL,RISCO DE SEGURANÇA DA INFORMAÇÃO - SI,O QUE,QUEM,QUAL ATIVO CRÍTICO AFETADO PELO RISCO?,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
R.UGENP.10,Direcionamento de um processo de parceria ou chamamento público,OPERACIONAL,MODERADO,,SIM,"Assegurar que o processo de seleção seja conduzido de forma imparcial, sem favorecimentos ou direcionamentos indevidos.",Aílton Machado,MTI,"A transparência fortalece a credibilidade da empresa, demonstra a lisura do processo e permite a prestação de contas à sociedade.","Participar de comissão ou equipe responsável pela avaliação, evitar conflitos de interesse e garantir a transparência em todas as etapas do processo.                                                                                                                    Dar publicidade de informações sobre o processo, disponibilizar relatórios de avaliação, e responder a questionamentos e solicitações de esclarecimento de forma aberta.",01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%",Participação de comitê de inovação e Transformação Digital MT;                                                  Grupo de Trabalho da Politica de IA para Poder Executivo de Mato Grosso,UGENP,,,
R.UGENP.11,Baixo engajamento das equipes internas,ESTRATÉGICO,,CRÍTICO,NÃO,"Criar oportunidades para que os colaboradores participem ativamente, contribuam com ideias e sugestões, e se envolvam em projetos e iniciativas da empresa.",Aílton Machado,MTI,"O envolvimento dos colaboradores aumenta a motivação, a criatividade e a produtividade, além de fortalecer o senso de pertencimento e a cultura de colaboração.",Sensibilização/motivação das equipes,01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%",Liberação para participação em palestras de tecnologia e inovação;                                Participação de Evento externo do Gartner; Participação em Eventos ,UGENP,,,
R.UGENP.12,Baixa capacidade para operacionalizar as parcerias estratégicas,ESTRATÉGICO,,CRÍTICO,NÃO,"Elaborar um plano estratégico que defina objetivos claros, metas mensuráveis e ações específicas para operacionalizar as parcerias estratégicas.",Aílton Machado,MTI,"Um plano de gestão estruturado orienta as atividades, alinha os esforços da equipe e facilita a execução eficaz das parcerias.",Aperfeiçoar o modelo de parcerias estratégicas a. monitorar a execução de todo o processo das parcerias estratégicas em conjuto com os parceiros.,01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%",Aprovação des instrumentos do Regulamento de Parceria MIPP / TAP / Compliance,UGENP,,,
R.UGENP.13,Risco a oportunidade de negócios ou comprometimento da continuidade de negócios de produtos de parceria da MTI,OPERACIONAL,CRÍTICO,,SIM,Identificar e avaliar os riscos que podem impactar as oportunidades de negócios e a continuidade das operações da empresa.,Aílton Machado,MTI,"A análise de riscos permite antecipar ameaças potenciais, tomar medidas preventivas e mitigar os impactos negativos nos negócios.","Realizar avaliações regulares de riscos, envolver as partes interessadas, priorizar os riscos identificados e desenvolver planos de ação para gerenciá-los.",01/03/2024,31/12/2024,,CONCLUÍDA,"100,00%","Revisitação no Plano de Riscos, inerentes a UGENP",UGENP,,,
R.UGENP.14,,ESTRATÉGICO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGVEN.01,Serviços prestados sem cobertura contratual pelos Clientes,OPERACIONAL,,CRÍTICO,,Existem clientes sem contrato ou com contratos deficitários em serviços e/ou quantitativos prestados X serviços contratados,UGVEN,,"1. Não prestarmos serviço sem cobertura contratual ou com quantitativos menores  
2. Não termos problemas no faturamento
3. Priorização dos projetos contratados","- Negociar com os clientes para que seja elaborado aditivos de contrato ou novos contratos;
- Definir processos/procedimentos para cobrar e agilizar a contratação dos serviços",22/01/2024,13/12/2024,,EM ANDAMENTO,"90,00%",Apenas Empaer sem contrato formal,UGVEN,"65,71%",7,7
R.UGVEN.02,Contratos não são assinados no prazo necessário,OPERACIONAL,,CRÍTICO,,Serviços prestados sem contrato,UGVEN,,Processo para contratação da MTI é lento e burocrático,"- Verificar outra forma de receber os serviços prestados pela MTI (Fundo de TI);
- Encaminhar o KIT contratação 
- Verificar parecer referencial da PGE",14/02/2024,13/12/2024,,EM ANDAMENTO,"30,00%",Kits contratação em elaboração,UGVEN,,,
R.UGVEN.03,Execução do serviço não compatível com a expectativa do cliente,OPERACIONAL,,ALTO,,Acompanhar o cronograma e as entregas dos serviços contratados,UGVEN,,Fazer as adequações do projeto e/ou prazos,Agendar reuniões sistemáticas (quinzenal ou mensal) de acompanhamento dos projetos,22/01/2024,13/12/2024,,EM ANDAMENTO,"50,00%",Consultores iniciaram agendas com clientes em projetos em andamento,UGVEN,,,
R.UGVEN.04,Não atualização de portfólio de serviços,OPERACIONAL,,CRÍTICO,,Revisar  Catálogo de serviços e preço dos produtos para sermos competitivos com o mercado,UGVEN,,Portfólio de serviços desatualizado,"Revisando o portfólio da MTI, mantendo os serviços atualizados e verificando os preços praticados estão adequados com os valores de mercado",22/01/2024,13/12/2024,,EM ANDAMENTO,"80,00%","catálogo aprovado Direx, porém necessita de constante acompanhamento",UGVEN,,,
R.UGVEN.05,Entregas dos serviços das parcerias fora do prazo acordado ou de baixa qualidade,OPERACIONAL,MODERADO,,,Acompanhar o cronograma e as entregas dos serviços das parcerias,UGVEN,,Fazer as adequações do projeto e/ou prazos,Agendar reuniões sistemáticas (quinzenal ou mensal) de acompanhamento dos projetos,22/01/2024,13/12/2024,,EM ANDAMENTO,"70,00%","No que tange ao comercial, a equipe de vendas e pós vendas estão realizando agendas com clientes ",UGVEN,,,
R.UGVEN.06,Frustração da realização das receitas previstas,OPERACIONAL,,ALTO,,"Celebrar novos contratos com os clientes
Celebrar contratos dos serviços/quantitativos sem cobertura contratual",UGVEN,,Aumentar a receita dos serviços,"- Identificar as oportunidades com as novas parcerias e os clientes que não tem serviços todos os serviços disponíveis.
- Celebrar novos contratos com os clientes
atualizar no Infocenter os ativos que não estão cadastrados corretamente e celebrar contratos ou aditivos dos serviços/quantitativos sem cobertura contratual",22/01/2024,13/12/2024,,EM ANDAMENTO,"60,00%",Novas propostas e contratos oriundos de parcerias estão surgindo.,UGVEN,,,
R.UGVEN.07,Baixo engajamento das equipes internas,ESTRATÉGICO,,,,Baixo engajamento da equipe,UGVEN,,"- Equipes internas desmotivadas
- Baixo interesse em ajudar outras equipes
- Falta de espírito colaborativo","- Realização de treinamentos motivacionais
- Dar e receber feedback
- Reuniões com a equipe e individuais para monitoramento",01/03/2024,29/11/2024,,EM ANDAMENTO,"80,00%","Reuniões com equipe e individuais
Feedback com equipe
Elaboração do PDI de todos da equipe
",UGVEN,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGADM.01,Não coordenar a gestão do arquivo permanente,OPERACIONAL,,MODERADO,,Coordenar efetivamente a gestão do arquivo permanente,Marcela ,MTI,"Gestão de documentos em cumprimento aos Decretos Estaduais nº 1.654/97, de 29 de agosto de 1997 e 1.509/2008, de 12 de agosto de 2008, a Secretaria de Estado de Gestão, através do Arquivo Público de Mato Grosso, tem a atribuição de orientar os órgãos públicos do Estado de Mato Grosso sobre a implantação ou implementação da Política de Gestão de Documentos",Treinamento SEPLAG,01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","1° Ciclo - até 30/04/2024 - Foi enviado para avaliação  para Coordenadoria do Arquivo Publico 

2° Ciclo - até 31/07/2024 -  Foi enviado para avaliação  para Coordenadoria do Arquivo Publico 

3° Ciclo - até 31/10/2024 -  Foi enviado para avaliação  para Coordenadoria do Arquivo Publico ",UGADM,"100,00%",6,6
R.UGADM.02,Falta de gestão dos documentos da empresa,OPERACIONAL,,ALTO,,Coordenar a gestão de documentos ,Marcela ,MTI ,Manter a gestão de documentos ,Treinamento SEPLAG/ Arquivo Publico ,02/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",Realizado através da Portaria de eliminação de documentos ,UGADM,,,
R.UGADM.03,Falta de planejamento e distribuição dos materiais de consumo,OPERACIONAL,,MODERADO,,Implantação do Módulo Almoxarifado no Protheus ,Marcelo ,MTI ,Utilizar o Sistema já utulizado pela MTI ,Realizar a contabilidade dos materiais no sistema e parametrizar as regras no Protheus juntamente com o Gestor do Sistema ,03/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",,UGADM,,,
R.UGADM.04,Não realizar manutenção predial ,OPERACIONAL,,ALTO,,Formalizar o processo de Manutenção Predial ,Olívia ,MTI ,Dar suporte a equipe GETS nas demandas solicitadas.,Realizar a contratação com a empresa ,04/01/2024,31/12/2024,,CONCLUÍDA,100%,,UGADM,,,
R.UGADM.05,Falta de controle dos materiais permanentes ,OPERACIONAL,,MODERADO,,Implantação do Módulo Patrimonio no Protheus ,Marcelo ,MTI,Utilizar o Sistema já utulizado pela MTI ,Realizar a contabilidade dos materiais no sistema e parametrizar as regras no Protheus juntamente com o Gestor do Sistema ,05/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",,UGADM,,,
R.UGADM.06,"Falta de realização de inventário (Bens permanentes, consumo, imobiliário e intangíveis)",OPERACIONAL,,ALTO,,Implantação do Módulo Patrimonio no Protheus ,Marcelo ,MTI ,Encerramento do Exercício que prevê prazos e limites para providências quanto ao Inventário de Bens e demais ações.,Alimentar com todas as informações a comissão de inventário ,06/01/2024,31/12/2024,,CONCLUÍDA,"100,00%",,UGADM,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGEPV.01,Insatisfação do cliente com o serviço adquirido.,OPERACIONAL,ALTO,,NÃO,"1. Entrega deficitária
2. Entrega fora do prazo acordado;
3. Falta de atendimento em tempo hábil",todas as equipes ,MTI,O acordo entabulado com o cliente deve ser rigorosamente cumprido emtodos os seus termos,"Acompanhar o cliente em todo processo desde a compra até a entrega do produto, cada equipe seguindo seu processo na cadeia comercial, proporcionando ao cliente a segurança e satisfação pretendida. ",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","Aumentamos o numero de visitas aos clientes com o intuito de ouvi-los tanto em relação a necessidades do dia a dia, quanto nas necessidades futuras, a expectativa é que essas interações traga ao cliente mais confiança em nossos consultores e principalmente os tenham como um ponto focal para relatos de problemas e novas oportunidades",UGEPV,"100,00%",7,7
R.UGEPV.02,Atrasos na entrega de serviços .,OPERACIONAL,ALTO,,NÃO,cumprimento de prazos,todas as equipes ,MTI,A pontualidade é um fator primordial que vai ser o grande divisor entre atrair ou afastar o cliente.,Identificar onde estão os pontos que acarretam nos atrasos das entregas e sanar ou miticar tais pontos ,01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","Para essa atividade estamos estreitando a comunicação entre a equipe de Fabrica, projetos e comercial, desta forma conseguiremos estar junto ""just in time"" na entregas e conforme reuniões semanais o andamento das entregas visando assim uma entrega a contento para o cliente.",UGEPV,,,
R.UGEPV.03,Dificuldades na utilização do produto/serviços por parte do cliente.,OPERACIONAL,ALTO,,NÃO,"Orientação, treinamento, informação.",todas as equipes ,MTI,se o Cliente não sabe ou não consegue utilizar o produto adquirido na sua totalidade e/ou da forma correta esse produto se torna sem valor.,Orientar o cliente quanto a  eventuais dificuldades que o cliente possa ter na utilização adequada do produto.,01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","Estamos entendendo os processos, bem como os produtos, para dessa forma consguirmos ajudar nossos clientes em suas necessidades/duvidas, contudo apesar de não dominarmos em sua totalidade as ferramentas, sempre conseguimos alinhar com os parceiros capacitações / overview's para sanarem duvidas existentes.",UGEPV,,,
R.UGEPV..04,Falta de suporte pós-venda adequado.,OPERACIONAL,ALTO,,NÃO,canais de relacionamento,UGEPV,MTI,"A equipe de pós venda deve estar sempre em contato com o cliente, sanando dúvidas, ouvindo as dificuldades que ele venda a ter, anseios dos clientes, identificando os pontos de atenção e buscar sanar ou mitigar juntos os gestores.",Criar e manter canais de relacionamento com o cliente.,01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","Aumentamos o numero de visitas aos clientes com o intuito de ouvi-los tanto em relação a necessidades do dia a dia, quanto nas necessidades futuras, a expectativa é que essas interações traga ao cliente mais confiança em nossos consultores e principalmente os tenham como um ponto focal para relatos de problemas e novas oportunidades",UGEPV,,,
R.UGEPV.05,Dificuldades na resolução de problemas ou reclamações dos clientes.,ESTRATÉGICO,ALTO,,NÃO,Suporte dos Gestores Diretores,todas as equipes,MTI,"O cliente é o centro do negócio, sem ele, a empresa não tem razão de existir, de modo que, a prioridade é que o cliente utilize nossos produtos sem qualquer intercorrência, e quando houver que seja sanado no menor tempo possível.","Oferecer suporte para apoiar o cliente direcionando para o atendimento adequado, no entanto, quando não for possível essa resolução, é de suma importância acionar os Gestores Diretores para dirimir demandas de alçada maior.",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","Hoje os clientes utilizam a plataforma service now, ainda estamos em fase inicial contudo, pela relação que estamos construindo com os clientes os mesmos nos acionam quando necessario visando celeridade em um ponto ou outro que precisam de maior agilidade;",UGEPV,,,
R.UGEPV.06,Falta de comunicação e acompanhamento eficaz com o cliente após a venda.,ESTRATÉGICO,MODERADO,,NÃO,Acompanhamento dos projetos,todas as equipes,MTI,è importante que o cliente tenha plena transparencia dos produtos adquiridos e entregues,Acompanhar de forma macro a entrega dos produtos.,01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","Estamos antenados com os acompanhamentos dos projetos e em sua grande maioria acompanhamos as reuniões semanais de entrega juntamente com o cliente, a idéia é que dentro dessa iteração consigamos entender se o que foi entregue esta a contento.",UGEPV,,,
R.UGEPV.07,"""O turnover""
Baixo engajamento da equipe",ESTRATÉGICO,ALTO,,NÃO,valorização dos colaboradores,,MTI,A valorização dos colaboradores é de suma importância para o crescimento de uma empresa.,"Cultura Organizacional Forte, Comunicação Clara e Aberta, Desenvolvimento Profissional, Conscienticação/ Equilíbrio entre Vida Profissional e Pessoal;Feedback e Desenvolvimento Individual:",01/01/2024,31/12/2024,,CONCLUÍDA,"100,00%","Uma cultura positiva e inclusiva pode ajudar os funcionários a se sentirem valorizados e conectados à missão da empresa, 
Manter os canais de comunicação abertos para que os colaboradores se sintam ouvidos e compreendidos, ofereçemos hoje oportunidades de desenvolvimento profissional, como treinamentos, workshops e programas de mentoria.
Ainda é necessario conseguirmos mais ferramentas para engajamento e conexão individual da equipe, estamos trabalhando para um curso/imersão visão construção de equipe.",UGEPV,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
R.UGPES.01,"Não propor a  implantação da Politica de Gestão
 de Pessoas, bem como a avaliação periódica da 
política e do regimento de gestão de pessoas",ESTRATÉGICO,ALTO,,NÃO,Elaborar a Politica de Gestão de Pessoas,Silvia ,MTI,"Estabelecer Direção e Orientação Claras:
Uma política de gestão de pessoas bem elaborada fornece direção e orientação claras sobre as práticas de RH da empresa, ajudando a alinhar os objetivos organizacionais com as necessidades e expectativas dos funcionários.

Promover Consistência e Justiça:
Uma política sólida ajuda a promover consistência e justiça no tratamento dos funcionários, garantindo que todos sejam tratados de forma equitativa e que as decisões sejam tomadas de maneira transparente e imparcial.

Atrair e Reter Talentos:
Uma política de gestão de pessoas bem estruturada pode ser uma ferramenta poderosa para atrair e reter talentos, pois demonstra o compromisso da empresa com o desenvolvimento e bem-estar de seus funcionários.

Minimizar Riscos Legais e Conformidade:
Uma política abrangente pode ajudar a minimizar os riscos legais e garantir a conformidade com as leis e regulamentações trabalhistas, reduzindo assim o potencial de litígios e penalidades.","Análise das Necessidades e Objetivos da Empresa:
Realizar uma análise das necessidades e objetivos da empresa em relação à gestão de pessoas, levando em consideração a cultura organizacional, os valores da empresa e os desafios específicos do setor de tecnologia da informação em Mato Grosso.

Envolver Diversos Stakeholders:
Envolver uma variedade de stakeholders, incluindo funcionários, gestores, líderes de equipe e representantes de RH, no processo de elaboração da política para garantir que ela seja abrangente e representativa.

Definir Diretrizes e Procedimentos Claros:
Estabelecer diretrizes e procedimentos claros em áreas-chave, como recrutamento e seleção, desenvolvimento de funcionários, avaliação de desempenho, remuneração e benefícios, gestão de talentos e resolução de conflitos.

Comunicar e Treinar:
Comunicar a política de gestão de pessoas de forma clara e acessível a todos os funcionários e fornecer treinamento adequado sobre as diretrizes e procedimentos estabelecidos.

Revisar e Atualizar Regularmente:
Revisar e atualizar a política de gestão de pessoas regularmente para garantir que ela continue relevante e eficaz em atender às necessidades em evolução da empresa e de seus funcionários.",1/3/2024,31/12/2025,,EM ANDAMENTO,"50,00%","
50% DE EXECUÇÃO

MINUTA DA POLITICA DE GESTÃO DE PESSOAS

Os documentos estão sendo escrito por etapas.


A mioria estão publicados na  INTRANET aba Gestão de Pessoas

INTRANET



",UGPES,"69,76%",14,14
R.UGPES.02,Não propor e implantar e definir a natureza de trabalho,CONFORMIDADE,ALTO,,NÃO,Propor a  Portaria de Ponto/Assiduidade,Silvia,MTI,"Evitar multas e ações trabalhistas, bem apontamentos dos ógãos de controle, além de ser uma forma eficaz na Unidade de Gestão de Pessoas da MTI é fundamental para promover o alinhamento organizacional, aumentar o engajamento dos funcionários e impulsionar o sucesso da organização. Ao seguir uma abordagem estruturada e envolver os funcionários no processo, a MTI pode garantir que as atividades dos funcionários estejam alinhadas com os objetivos organizacionais, promovendo um ambiente de trabalho produtivo e eficaz.",Acompanhar a  Publicação da Portaria de Ponto,1/3/2024,31/12/2024,,CONCLUÍDA,"100,00%","
100% CONCLUIDO

Portaria Nº 203/2024 publicada em 22 de outubro de 2024",UGPES,,,
R.UGPES.03,Baixo engajamento das equipes internas,ESTRATÉGICO,CRÍTICO,,NÃO,"1) Propor a Poltica de Gestão de Pessoas 

",Silvia,MTI,"Melhoria do Desempenho Organizacional: Funcionários engajados tendem a ser mais produtivos, criativos e comprometidos com o sucesso da organização, o que contribui para um melhor desempenho geral da empresa.

Redução da Rotatividade: O engajamento dos funcionários está fortemente relacionado à retenção de talentos. Ao aumentar o engajamento, a empresa pode reduzir a rotatividade de funcionários e os custos associados à substituição e treinamento de novos colaboradores.

Criação de uma Cultura Positiva: Um ambiente de trabalho onde os funcionários se sintam engajados, valorizados e respeitados ajuda a promover uma cultura organizacional positiva, que por sua vez atrai talentos e promove a satisfação no trabalho.

Aumento da Satisfação do Cliente: Funcionários engajados tendem a oferecer um melhor atendimento ao cliente e a demonstrar um maior comprometimento com a excelência no trabalho, o que pode resultar em uma melhor experiência do cliente e maior fidelidade à marca.","

Escrever Politica de Gestão de Pessoas

2) Avaliação de Engajamento:
Realizar uma avaliação abrangente do engajamento dos funcionários para identificar áreas de melhoria e entender as causas subjacentes do baixo engajamento.

Desenvolvimento de Estratégias de Engajamento:
Desenvolver estratégias específicas de engajamento que promovam uma cultura organizacional positiva, reconheçam e valorizem as contribuições dos funcionários e incentivem a colaboração e o trabalho em equipe.

Comunicação Transparente e Aberta:
Promover uma comunicação transparente e aberta entre a liderança e os funcionários, garantindo que as informações relevantes sejam compartilhadas de forma clara e oportuna.

Fomento de um Ambiente de Trabalho Positivo:
Criar um ambiente de trabalho positivo e inclusivo, onde os funcionários se sintam valorizados, apoiados e encorajados a contribuir com suas ideias e feedback.

Oferta de Programas de Desenvolvimento Profissional:
Oferecer programas de desenvolvimento profissional e oportunidades de aprendizado contínuo para os funcionários, permitindo-lhes expandir suas habilidades e avançar em suas carreiras dentro da organização.

Reconhecimento e Recompensa:
Implementar programas de reconhecimento e recompensa que reconheçam e celebrem as conquistas dos funcionários e seu comprometimento com os objetivos organizacionais.
",1/3/2024,31/12/2025,,EM ANDAMENTO,"50,00%","
50% DE EXECUÇÃO

MINUTA DA POLITICA DE GESTÃO DE PESSOAS

Os documentos estão sendo escrito por etapas.


A mioria estão publicados na  INTRANET aba Gestão de Pessoas

INTRANET



",UGPES,,,
R.UGPES.04,Não executar o Plano Anual de Capacitação ,OPERACIONAL,MODERADO,,NÃO,Executar o Plano de Capacitação relativo ao ano de 2024,Ana Flávia,MTI,Cumprir o indicador estratégico  (PDI),Elaborar e Executar o Plano de Capacitação 2023 ,1/3/2024,31/12/2024,,CONCLUÍDA,"100,00%","""


97,93% DE EXECUÇÃO DO PLANO DE CAPACITAÇÃO APROVADO
PLANO DE CAPACITAÇÃO
O Plano de Capacitação de 2024 foi apresentado em DIREX e já foi liberado para áreas demandantes o início de sua TRs


JANEIRO
Windows Server Hybrid Administrator Associate Módulo : AZ 801

MARÇO
Gestão de Documentos na prática""

ABRIL
Foundations of Incident Management e Advanced Topics in Incident Handling,

MAIO
Governo Digital
Formação em Métricas de Fluxo
Cursos Técnicas de Negociação, Liderança e Gestão de Vendas, Liderança e Coach, Roteirização de vendas e entregas
Seminário das Estatais

JUNHO
ORATÓRIA-COMUNICAÇÃO EFICAZ com TÉCNICAS DE PNL
AUTORESPONSABILIDADE E SUCESSO-PROMOVENDO ATITUDES PROATIVAS com TEAL""

JULHO
Congresso Matogrossense de Gestão de Pessoas
NO TOUR PODER E ALTA PERFORMANCE

AGOSTO
Evento Agile Trends GOV 2024, a ser realizado entre os dias 19 e 22 de Agosto de 2024, modalidade presencial.
Curso On Demand + Exame da CTFL
Certified ScrumMaster® CSM, 10(dez) vagas - Advanced Certified Scrum Master® A-CSM, 04 (quatro) vagas - Certified Scrum Product Owner® CSPO, 10 (dez) vagas - Advanced Certified Scrum Product Owner® A-CSPO, 03 (três) vagas
ITIL V4 FOUNDATION E PRACTITIONER
7º Encontro Nacional das Estatais.

SETEMBRO
""PLANO DE CAPACITAÇÃO
97,93% DE EXECUÇÃO DO PLANO DE CAPACITAÇÃO APROVADO
O Plano de Capacitação de 2024 foi apresentado em DIREX e já foi liberado para áreas demandantes o início de sua TRs

OUTUBRO
AGILE BRAZIL 2024”
CONTRATAÇÃO DE Plataforma online de treinamentos com foco em infraestrutura de TI.
CURSO GESTÃO ESTRATÉGICA DE CUSTOS
INTELIGÊNCIA EMOCIONAL,

NOVEMBRO
COMUNICAÇÃO PLENA, ""

DEZEMBRO
Curso de Oratória - Comunicação Eficaz com Técnicas de PNL




",UGPES,,,
R.UGPES.05,Não realizar a Avaliação de Desempenho 2024,OPERACIONAL,MODERADO,,NÃO,Realizar a avaliação de Desempenho,Ana Flávia,MTI,Cumprir o Regulamento de Avalaição de Desempenho,Aplicar a avaliação de Desempenho,1/9/2024,30/9/2024,,CONCLUÍDA,"100,00%","
100% DA META ALCANÇADA

A Avaliação de Desempenho é realizada no Mês 09/2024

- Portaria publicada no DO e na INTRANET",UGPES,,,
R.UGPES.06,Não realizar a Pesquisa de Clima,OPERACIONAL,MODERADO,,NÃO,Realizar a Pesquisa de Clima,Ana Flávia,MTI,Cumprir o Regulamneto de Pequisa de Clima,"1) Defnir o questionário 
2) cadastrar no sistema ELOFY 
3) Aplicar a Pequisa  
4) Apurara o resultado  
5) Publicar na Intranet",1/5/2024,31/12/2024,,CONCLUÍDA,"100,00%","A Pequisa de Clima foi aplicada em 05/2024  e 11/2024 até 06/12/2024

",UGPES,,,
