Nome,Tipo de Iniciativa,Resultado esperado,Objetivo Estratégico,Unidade,Ano,Prazo,Estado,Porcentagem  de conclusão
Elaborar novo mapaeamento de processos de pagamentos de autoconcumo e emissão de nota única referente a Parcerias.,OBES - Objetivo Estratégico,Processos Mapeados,Melhorar a Qualidade das Entregas,"UGOFF - UNIDADE DE GESTAO DE ORCAMENTARIA, FINANCEIRA E FATURAMENTO",2024,31-12-2024 18:00:00,Concluído,"100,00"
PROPOR A POLITICA DE GESTÃO DE PESSOAS,OBES - Objetivo Estratégico,Política elaborada,Melhorar a Qualidade das Entregas,UGPES - UNIDADE DE GESTAO DE PESSOAS,2024,01-07-2024 00:00:00,Concluído,"100,00"
REVISAR O PROGRAMA DE DESENVOLVIMENTO DE GESTÃO POR COMPETÊNCIAS,RIES - Risco Estratégico,Programa de gestão por competências revisado,Incentivar uma transformação cultural,UGPES - UNIDADE DE GESTAO DE PESSOAS,2024,01-08-2024 00:00:00,Concluído,"100,00"
PROPOR O NOVO REGULAMENTO DE AVALIAÇÃO DE DESEMPENHO,OBES - Objetivo Estratégico,Regulamento de avaliação de desempenho elaborado,Melhorar a Qualidade das Entregas,UGPES - UNIDADE DE GESTAO DE PESSOAS,2024,01-07-2024 00:00:00,Concluído,"100,00"
Elaborar Guia de de Gestão de Projetos com intuito de padronização das práticas de Gestão de Projetos do Modelo Tradicional e Ágil,OBES - Objetivo Estratégico,Documento disponibilizado em Sistema de Gestão,Elevar o nível de satisfação do cliente e de imagem institucional,UGPRO - UNIDADE DE GESTAO DE PROJETOS,2024,15-06-2024 03:00:00,Concluído,"100,00"
"Implantar Módulos de Plano de Aquisição e Plano de Ação com utilização do Service Now, com intuito de garantir a integridade das informações e propor visão estratégica do processo.",OBES - Objetivo Estratégico,Módulos de Plano de Ação no Service Now,Melhorar a Qualidade das Entregas,UGPRO - UNIDADE DE GESTAO DE PROJETOS,2024,30-09-2024 23:59:59,Em andamento,"0,00"
Capacitação dos integrantes da Equipe UGPRO na ferramenta Service Now e conceitos sobre Gestão de Projeto para otimização do atendimento dos clientes internos da MTI,OBES - Objetivo Estratégico,Número de Capacitações: 02 para 2024,Elevar o nível de satisfação do cliente e de imagem institucional,UGPRO - UNIDADE DE GESTAO DE PROJETOS,2024,31-08-2024 23:59:59,Concluído,"100,00"
70% de satisfação dos clientes referente as entregas realizadas,OBES - Objetivo Estratégico,Pesquisa de Satisfação,Elevar o nível de satisfação do cliente e de imagem institucional,UGSDG - UNIDADE DE GESTAO DE SOLUCOES DIGITAIS DE GOVERNO,2024,28-12-2024 00:00:00,Concluído,"100,00"
Implantar 100% Processo de Incidentes,OBES - Objetivo Estratégico,Processo implantado,Melhorar a Qualidade das Entregas,UGSTI - UNIDADE DE GESTAO DE SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO,2024,01-10-2024 00:00:00,Concluído,"100,00"
100% do processo de faturamento automatizado (Infocenter e Phothes automatizados e integrados),OBES - Objetivo Estratégico,"Processo automatizado
Finalizou com 80%, iniciativa segue para conclusão em 2025.",Elevar a receita de faturamento,UGVEN - UNIDADE DE GESTAO DE VENDAS,2024,01-08-2024 00:00:00,Concluído,"80,00"
Realizar no mínimo uma visita presencial com o superintendente ou coordenador de TI do órgão,OBES - Objetivo Estratégico,12 reuniões com os clientes realizadas,Elevar o nível de satisfação do cliente e de imagem institucional,UGVEN - UNIDADE DE GESTAO DE VENDAS,2024,21-12-2024 00:00:00,Concluído,"60,00"
100 % das solicitações e demandas do ServiceNow respondidas no prazo,OBES - Objetivo Estratégico,Solicitações atendidas em 5 dias,Elevar o nível de satisfação do cliente e de imagem institucional,UGVEN - UNIDADE DE GESTAO DE VENDAS,2024,21-12-2024 00:00:00,Concluído,"70,00"
Realizar no mínimo 6 treinamentos no ano para a equipe,OBES - Objetivo Estratégico,Reuniões e treinamentos realizados,Incentivar uma transformação cultural,UGVEN - UNIDADE DE GESTAO DE VENDAS,2024,30-11-2024 00:00:00,Concluído,"6,00"
Identificar/disponibilizar os serviços mais rentáveis e viáveis de comercialização alinhado com as estratégias do governo,OBES - Objetivo Estratégico,"Serviços rentáveis e viáveis disponibilizados
iniciativa não concluída.",Elevar a receita de faturamento,UGVEN - UNIDADE DE GESTAO DE VENDAS,2024,01-11-2024 00:00:00,Concluído,"10,00"
Obter o parecer referencial da PGE Disponibilizar o Kit contratação para clientes,OBES - Objetivo Estratégico,"Parecer referencial disponibilizado
Kit contratação disponibilizado",Elevar a receita de faturamento,UGVEN - UNIDADE DE GESTAO DE VENDAS,2024,01-08-2024 00:00:00,Concluído,"15,00"
"Atualizar os modelos existentes atualmente, a fim de otimizar, simplificar e adequar o preenchimento das planilhas, à realidade do gerenciamento de riscos na MTI.",OBES - Objetivo Estratégico,Planilhas atualizadas,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,29-02-2024 04:00:00,Concluído,"100,00"
Revisar e atualizar o regimento interno e a portaria de nomeação do comitê de segurança e riscos,OBES - Objetivo Estratégico,Regimento Interno e  portaria de nomeação do Comitê de Segurança e Riscos atualizado,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,01-05-2024 00:00:00,Concluído,"100,00"
Definir indicadores de integridade,OBES - Objetivo Estratégico,Indicadores definidos,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,30-04-2024 03:00:00,Concluído,"100,00"
Elaborar política de integridade e anticorrupção,OBES - Objetivo Estratégico,Política elaborada,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,31-07-2024 00:00:00,Concluído,"100,00"
Elaborar o plano de integridade,OBES - Objetivo Estratégico,Plano elaborado,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,30-03-2024 03:00:00,Concluído,"100,00"
Coordenar   a Elaboraçao do plano de açao  do comitê segurnaça e risco,OBES - Objetivo Estratégico,Plano de ação elaborado,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,30-04-2024 03:00:00,Concluído,"100,00"
Promover treinamento das políticas de integridade (Anual),OBES - Objetivo Estratégico,Treinamentos realizado,Incentivar uma transformação cultural,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,01-10-2024 00:00:00,Concluído,"100,00"
Disseminar mensalmente informativos de segurança da informaçao  (12 no ano),OBES - Objetivo Estratégico,Nº de informativos disseminados,Incentivar uma transformação cultural,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,31-12-2024 00:00:00,Concluído,"100,00"
Promover treinamento do código de conduta e integridade aos colaboradores. (Anual),OBES - Objetivo Estratégico,Treinamentos realizado,Incentivar uma transformação cultural,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,01-10-2024 00:00:00,Concluído,"100,00"
Aprovar no conselho de adm a politica de risco,OBES - Objetivo Estratégico,Documentos atualizadas,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,30-03-2024 03:00:00,Concluído,"100,00"
Disseminar mensalmente informativos de integridade (12 no ano),OBES - Objetivo Estratégico,Nº de informativos disseminados,Incentivar uma transformação cultural,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,31-12-2024 00:00:00,Concluído,"100,00"
Definir riscos de integridade,OBES - Objetivo Estratégico,Riscos definidos,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,30-04-2024 03:00:00,Concluído,"100,00"
Elaborar e apresentar em DIREX relatório trimestral da evolução do tratamento dos riscos corporativos na MTI.,OBES - Objetivo Estratégico,Relatórios entregues,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,31-12-2024 00:00:00,Concluído,"100,00"
Coodenar   as reunioes  do comitê segurança e risco,OBES - Objetivo Estratégico,Reuniões acompanhadas,Melhorar a Qualidade das Entregas,"UNICRS - UNIDADE DE GESTAO DE CONFORMIDADE, RISCOS E SEGURANCA DA INFORMACAO",2024,31-12-2024 00:00:00,Concluído,"100,00"
"Padronizar os modelos de editais, minutas de contratos, regulamento de aquisições e manifestações. Kits de contratação para Parcerias, revisão e padronização dos documentos a serem utilizados.",OBES - Objetivo Estratégico,Nº de documentos padronizados no ano,Melhorar a Qualidade das Entregas,UNIJUR - ASSESSORIA JURDICA,2024,01-12-2024 01:00:00,Concluído,"100,00"
Padronizar o tempo necessário para análise dos processos administrativos (7 dias úteis),OBES - Objetivo Estratégico,% de processos analisados dentro do prazo,Melhorar a Qualidade das Entregas,UNIJUR - ASSESSORIA JURDICA,2024,31-12-2024 04:00:00,Concluído,"100,00"
Mapear os pareceres administrativos de acordo com os pareceres emitidos pela PGE/MT),OBES - Objetivo Estratégico,Mapear 5 pareceres no ano e encaminhar as informações necessárias aos setores competentes através de CI.,Melhorar a Qualidade das Entregas,UNIJUR - ASSESSORIA JURDICA,2024,15-10-2024 00:00:00,Concluído,"100,00"
"Analisar e reportar a efetividade dos controles intituidos políticas, PMP, planos, checklist l e procedimentos para se atingir  objetivos estratégicos",OBES - Objetivo Estratégico,"Indicador  (descrição) = checklist padronizados de  CONTRATAÇÕES aplicados 

indicador (formula) = ( numero de checklist aplicados /  7 )

meta (prazo) = semestral

meta = 100%",Melhorar a Qualidade das Entregas,UNISECI - UNIDADE SETORIAL DE CONTROLE INTERNO,2024,31-12-2024 00:00:00,Concluído,"100,00"
Identitificar causas de não implementação das OM que contribuem com o Objetivo Estrategico 4,OBES - Objetivo Estratégico,Quantidade OM com relação direta com OBE4,Incentivar uma transformação cultural,UNISECI - UNIDADE SETORIAL DE CONTROLE INTERNO,2024,01-07-2024 00:00:00,Cancelado,
"Identicar e recomendar proteção para os ativos criticos da empresa. ( inclui adequados controles internos , cobertura de seguros, contigência e redundancia)",OBES - Objetivo Estratégico,Quantidade de ativos críticos Identificados com recomendações,Melhorar a Qualidade das Entregas,UNISECI - UNIDADE SETORIAL DE CONTROLE INTERNO,2024,31-05-2024 00:00:00,Cancelado,
Coordenar/Assistir as Undiades Administrativas na implementação do roteiro do e-Prevenção(CGE/TCU),OBES - Objetivo Estratégico,Quantidade de ações implementadas,Elevar o nível de satisfação do cliente e de imagem institucional,UNISECI - UNIDADE SETORIAL DE CONTROLE INTERNO,2024,31-12-2024 00:00:00,Concluído,"100,00"
