Unidade,Diretoria,Indicador (descrição),Indicador (tipo),Indicador (fórmula),Meta (objetivo),Meta (valor/quantidade) - proposta,Meta (prazo),Unidade de Medida,Polaridade do Indicador,Como,Necessidades,Observação,Histórico do Indicador,"JANEIRO
META DO MÊS","JANEIRO
ALCANCE DO MÊS","JANEIRO
RESULTADO",JANEIRO OBSERVAÇÃO,"FEVEREIRO
META DO MÊS","FEVEREIRO
ALCANCE DO MÊS","FEVEREIRO
RESULTADO",FEVEREIRO OBSERVAÇÃO,"MARÇO
META DO MÊS","MARÇO
ALCANCE DO MÊS","MARÇO
RESULTADO",MARÇO OBSERVAÇÃO,"ABRIL
META DO MÊS","ABRIL
ALCANCE DO MÊS","ABRIL
RESULTADO",ABRIL OBSERVAÇÃO,"MAIO
META DO MÊS","MAIO
ALCANCE DO MÊS","MAIO
RESULTADO",MAIO OBSERVAÇÃO,"JUNHO
META DO MÊS","JUNHO
ALCANCE DO MÊS","JUNHO
RESULTADO",JUNHO OBSERVAÇÃO,"JULHO
META DO MÊS","JULHO
ALCANCE DO MÊS","JULHO
RESULTADO",JULHO OBSERVAÇÃO,"AGOSTO
META DO MÊS","AGOSTO
ALCANCE DO MÊS","AGOSTO
RESULTADO",AGOSTO OBSERVAÇÃO,"SETEMBRO
META DO MÊS","SETEMBRO
ALCANCE DO MÊS","SETEMBRO
RESULTADO",SETEMBRO OBSERVAÇÃO,"OUTUBRO
META DO MÊS","OUTUBRO
ALCANCE DO MÊS","OUTUBRO
RESULTADO",OUTUBRO OBSERVAÇÃO,"NOVEMBRO
META DO MÊS","NOVEMBRO
ALCANCE DO MÊS","NOVEMBRO
RESULTADO",NOVEMBRO OBSERVAÇÃO,"DEZEMBRO
META DO MÊS","DEZEMBRO
ALCANCE DO MÊS","DEZEMBRO
RESULTADO",DEZEMBRO OBSERVAÇÃO
UNIJUR,GADP,Nº de dias para atendimento de Pedidos de Exclarecimentos,Operacional,Média de dias para atendimento ,Atender no prazo estabelecido,5 dias úteis,mensal,Percentual,Menor Melhor,1 - Consultas realizadas por e-mail ou presencialmente na Unidade Jurídica; 2 - Acompanhar o prazo de resposta; 3 - Verificar se a consulta deve ser remetida para PGE;,,,,1%,1%,"100,00%",6 atividades,5%,5%,"100,00%",36 atividades,2%,2%,"100,00%",47 atividades,2%,2%,"100,00%",34 atividades,1%,1%,"100,00%",17 atividades,1,1,"100,00%",18 atividades,2%,2%,"100,00%",22 atividades,3%,3%,"100,00%",29 atividades,2%,2%,"100,00%",23 atividades,2%,2%,"100,00%",30 atividades,4%,4%,8 atividades,,3%,3%,"100,00%",12 atividades
UNIJUR,GADP,Nº de dias para atendimento de Tribunal de Contas,Operacional,Média de dias para atendimento ,Atender no prazo estabelecido,5 dias úteis,mensal,Percentual,Menor Melhor,1 - Verificar o prazo do TCE; 2 - Alinhar as respostas com a área técnica ou administrativa; 3 - Acompanhar o prazo;,,,,6%,6%,"100,00%",1 atividade,0%,0%,"0,00%",0 atividade,5%,5%,"100,00%",1 atividade,0%,0%,"0,00%",,1%,1%,"100,00%",3 atividades,8,8,"100,00%",1 atividade,0%,0%,"0,00%",,5%,5%,"100,00%",1 atividade,5%,5%,"100,00%",1 atividade,4%,4%,"100,00%",2 atividades,4%,4%,1 atividade,,0%,0%,#DIV/0!,0
UNIJUR,GADP,Nº de dias para atendimento de Audiências,Operacional,Média de dias para atendimento ,Atender no prazo estabelecido,Data agendada,mensal,Percentual,Menor Melhor,1 - Verificar qual o Procurador participará da audiência; 2 - Encaminhar todas as informações necessárias para a audiência; 3 - Acompanhar o Procurador em tudo que for necessário para a boa condução da audiência;,,,,3%,3%,"100,00%",1 atividade,0%,0%,"0,00%",0 atividade,15%,15%,"100,00%",1 atividade,2%,2%,"100,00%",,10%,10%,"100,00%",2 atividades,0%,0%,"0,00%",,0%,0%,"0,00%",,8%,8%,"100,00%",1 atividade,0%,0%,#DIV/0!,0 audiência,0%,0%,"0,00%",0,0%,0%,"0,00%",,0%,0%,#DIV/0!,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSCOM,GADP,Eventos realizados - Total de eventos realizados,,(Total de eventos realizados/Total de eventos demandados)*100,"- Garantir padronização da identidade visual
- Contribuir para imagem positiva da MTI
- Auxiliar os setores na organização dos eventos","100,00%",Mensal,,,"- Planejamento antecipado, incluindo definição de datas, locais e formatos, deve ser realizado pelo setor demandante e repassado à ASSCOM para validação.
- Divulgação antecipada para maximizar o alcance e impacto.
",- Que os outros setores comuniquem a ASSCOM com antecedência sobre os eventos planejados.,,,100%,100%,"100,00%","Integração Fic_Dev
Janeiro Branco",100%,100%,"100,00%",Recepção Estagiários e Lançamento MTI CLOUD.,100%,100%,"100,00%","Reunião com os gerentes
Dia da Mulher
Apresentação do novo portal do cliente
IplanRio
Ação Páscoa
Lançamento Plano de Integridade",100%,100%,"100,00%","Workshop MT 4.0
",100%,100%,"100,00%","Dia das Mães 
Evento Gartner",100%,100%,"100,00%","Universo MTI 51 anos
Almoço junino",100%,100%,"100,00%",Lançamento MTI Now,100%,100%,"100,00%","SECOP 2024
11.08 DIA DOS PAIS NA  MTI
13.08 WORKSHOP DE INTEGRAÇÃO E NORMATIVAS
27.08 MTO ORACLE EXPERINCE
30.07 TRANSFORMAÇÃO DIGITAL DE MTI",100%,100%,"100,00%","3° Semana da Integridade
Semana de Inovação MT
Oficina de Transformação de Processos de Negócios",100%,100%,"100,00%","Curso Inteligência Emocional
Evento MTI QI Connect
Outubro Rosa",100%,100%,"100,00%","22.11 - Novembro azul
26.11 - MTI Tech & Crowdstrike
27.11 - Reunião Gerencial MTI
28.11 - GR de Tecnologia do Consed",100%,100%,"100,00%","19/12 - Evento de Apresentação do Parque Novo MT
20/12 - Entrega de Cestas Básicas"
ASSCOM,GADP,Engajamento em eventos  - Número de participantes nos eventos organizados,,(Número de participantes/Número de convidados)*100,"
- Melhorar o engajamento dos empregados
- Melhorar o reconhecimento da MTI","50,00%",Mensal,,,"- Implementação de estratégias de marketing pré e pós-evento.
- Utilização de ferramentas de feedback para avaliar a satisfação do público.
- Promoção ativa para aumentar a participação.",- Que cada unidade incentive seus funcionários diretos a participarem dos eventos internos da MTI.,,,50%,70%,"140,00%",26/01 - Janeiro Branco,50%,100%,"200,00%",Recepção Estagiários e Lançamento MTI CLOUD.,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",
ASSCOM,GADP,Matérias jornalísticas - Número de matérias produzidas ,,Número de matérias,"- Ampliar a visibilidade e compreensão dos projetos, entregas, capacitações e qualquer atividade importante da MTI
- Transparência",10,Mensal,,," - Identificação de ângulos de notícia interessantes sobre as atividades da MTI.
- Produção de comunicados de imprensa e materiais de apoio.
",,,,10,10,"100,00%","10 - Site
6 - Intranet",8,8,"100,00%",,10,10,"100,00%",,10,10,"100,00%",,4,4,"100,00%",,7,7,"100,00%",,5,3,"60,00%",,1,1,"100,00%",,4,4,"100,00%",,6,6,"100,00%",,5,5,"100,00%",,4,4,"100,00%",
ASSCOM,GADP,Redes Sociais - Número de publicações nas redes sociais ,,Número de publicações,"- Reforçar a presença online da MTI 
- Melhorar engajamento
- Ampliar divulgação/conhecimento das atividades da MTI",20,Mensal,,,"- Desenvolvimento de um calendário editorial para manter consistência.
- Utilização de conteúdo visual para aumentar o engajamento.
- Monitoramento ativo das interações e respostas rápidas.
- Implementação de campanhas pagas para ampliar o alcance.",,,,20,27,"135,00%",,20,21,"105,00%",,40,40,"100,00%",,37,37,"100,00%",,31,31,"100,00%",,85,85,"100,00%",,32,32,"100,00%",,39,39,"100,00%",,24,24,"100,00%",,17,17,"100,00%",,31,31,"100,00%",,23,23,"100,00%",
ASSCOM,GADP,Demandas internas atendidas no prazo - Número de demandas atendidas no prazo estabelecido,,(Número de demandas atendidas/Número de demandas)*100,- Agilidade na comunicação interna,"100,00%",Mensal,,,"- Estabelecimento de prazos realistas e comunicação clara das expectativas.
- Treinamento contínuo para a equipe em práticas eficazes.
- Monitoramento regular do progresso e ajustes quando necessário.",,,,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.,100%,100%,"100,00%",Todas as demandas foram atendidas dentro do prazo.
ASSCOM,GADP,Endomarketing - Números de ações de endomarketing realizadas,,Número de ações realizadas,"- Valorização e satisfação dos funcionários
- Fomentar a colaboração
- União da equipe MTI",1,Mensal,,,"- Organização de eventos internos alinhados com a UGPES para promover integração.
- Utilização de canais de comunicação interna, como intranet, e-mail e WhatsApp.
- Coleta de feedback dos colaboradores para ajustes contínuos.",,,,95,95,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Vídeo Presidente Cleberson
Campanha mensal
Datas comemorativas
",71,71,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Vídeo Presidente Cleberson
Campanha mensal
Datas comemorativas
",98,98,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Vídeo Presidente Cleberson
Campanha mensal
Datas comemorativas
",248,248,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Vídeo Presidente Cleberson
Campanha mensal
Datas comemorativas
",118,118,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Campanha mensal
Datas comemorativas
",99,99,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Campanha mensal
Datas comemorativas
",66,66,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Campanha mensal
Datas comemorativas
",367,367,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Campanha mensal
Datas comemorativas
",126,126,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Campanha mensal
Datas comemorativas
",70,70,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Campanha mensal
Datas comemorativas
",81,81,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Campanha mensal
Datas comemorativas
",56,56,"100,00%","Comunicados
Aniversariantes
Aniversário de Serviço
Novo colaborador
Matérias Intranet
Tome nota!
Campanha mensal
Datas comemorativas"
ASSCOM,GADP,Tratamento da Pesquisa de Imagem e Satisfação 2023 - Tratamento da pesquisa em relação ao número de melhorias identificadas.,,(Número de tratativas/Número de aspectos indentificados)*100,Aprimorar os aspectos que não obtiveram resultados satisfatórios na pesquisa. Como será realizado:,"100,00%",Anual,,,"- Análise dos resultados.
- Plano de ação estratégico para cada item.
- Supervisão das ações com os setores responsáveis.
- Comunicação transparente sobre o andamento das tratativas.",,,,100%,100%,"100,00%",Pesquisa de 2023 finalizada no dia 31/01.,100%,100%,"100,00%",Relatório da pesquisa pronto e validado com o presidente Cleberson Gomes.,100%,100%,"100,00%",Relatório finalizado. Aguardando o presidente autorizar a divulgação.,100%,100%,"100,00%",Inicio do tratamento da pesquisa com apoio do Cirano.,100%,100%,"100,00%",DTIC e DIRC criaram o Plano de Ação de cada diretoria com base nos resultados da pesquisa.,100%,100%,"100,00%","Plano de ação da DIRC e DTIC criado e ativo. Reuniões semanais estão sendo realizadas com cada diretoria para acompanhar o andamento (Gabriela e Cirano).
",100%,100%,"100,00%","Solicitado às diretorias um relatório sobre as ações realizadas desde a criação do plano de ação. A DTIC já entregou o seu relatório, estamos aguardando o da DIRC.
",100%,100%,"100,00%",Relatórios das duas diretorias entregues e em monitoramento contínuo.,100%,100%,"100,00%","Início do planejamento da pesquisa de 2024.




",100%,100%,"100,00%",Aguardando validação do presidente para iniciar.,100%,100%,"100,00%","Pesquisa iniciada em 25/11/2024, com previsão de encerramento em 31/01/2025.
",100%,100%,"100,00%","As pesquisas para os quatro grupos (Cidadão, Gestores de TI, Líderes de Governo, Parceiros e Fornecedores) permanecerão disponíveis até o dia 31/01/2025. Após o encerramento, será elaborado o relatório com o cálculo e a nota final."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGGOV/GGES,GADP,Índice de Governança e Gestão ,Estratégico,Métrica do TCU,Aumentar a capacidade de governança e gestão,68,Anual,Unidade,Maior Melhor,,,,,,,"0,00%",Planejado o diagnóstico para início em fevereiro,,,"0,00%",Diagnóstico iniciado em Fevereiro,,,"0,00%",Diagnóstico iniciado em Fevereiro,68%,75%,"110,29%",Diagnóstico do IGG (antigo).,,,"0,00%",Diagnóstico será enviado em junho para sistema do TCU.,0%,0%,"0,00%","Diagnóstico encaminhado via sistema do TCU, aguardando tabulação.",,,"0,00%","iESGo: Diagnóstico encaminhado via sistema do TCU, aguardando tabulação.
IMGG: Diagnóstico realizado e encaminhado para comitê central avaliar.",,,"0,00%","iESGo: Diagnóstico encaminhado via sistema do TCU, aguardando tabulação.
IMGG: Diagnóstico realizado e em validação pelo comitê e diretoria para lançamento no sistema.",,,"0,00%","iESGo: Diagnóstico encaminhado via sistema do TCU, aguardando tabulação.
IMGG: Diagnóstico encaminhado via sistema, aguardando tabulação",,,"0,00%","iESGo: Diagnóstico encaminhado via sistema do TCU, aguardando tabulação.
IMGG: Diagnóstico encaminhado via sistema, aguardando tabulação",68%,56%,"82,65%","iESGo: Resultado: 56,2% - Estágio Intermediário, conforme relatório do TCU.
IMGG: Diagnóstico encaminhado via sistema, aguardando tabulação",,,"0,00%","iESGo: Resultado: 56,2% - Estágio Intermediário, conforme relatório do TCU.
IMGG: Resultado 90,98%"
UGGOV,GADP,Índice de cumprimento das práticas de gestão,Operacional,(Total de práticas de gestão implementadas no prazo/Total de práticas) *100,Cumprir as práticas de gestão (CI 2024),100%,Mensal,Percentual,Maior Melhor,Monitoramento CI 2024,,A composição da fórmula ocorre mediante uma regra/peso para cada prática definida na referida CI,,,,"0,00%",Monitoramento início em fevereiro,,,"88,83%",,,,"92,21%",,,,"92,89%",,,,"92,12%",,,,"89,46%",,,,"90,24%",,,,"86,51%",,,,"79,92%",,,,"84,44%",,,,"91,98%",,,,"89,70%",
UGGOV/GEPP,GADP,Índice de padrões dentro do prazo de validade,Operacional,(Quantidade de padrões vencidos / quantidade de padrões elaborados) * 100,Manter todos os padrões dentro do prazo.,100%,Mensal,Percentual,Maior Melhor,Monitorando a lista mestre de padrões,,,,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,"73,00","66,00","90,41%",7 padrões vencidos de 73 no total.,73,66,"90,41%",7 padrões vencidos de 73 no total.,"73,00","66,00","90,41%",7 padrões vencidos de 73 no total.,73,66,"90,41%",7 padrões vencidos de 73 no total.
UGGOV/GGES,GADP,Índice de cumprimento do plano estratégico,Operacional,% de indicadores que atingiram a meta,Que todos os indicadores atinjam a meta etabelecida,100%,Anual,Percentual,Maior Melhor,,,,,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"0,00%",Monitoramento em setembro,,,"93,41%","IND 1: 132,89%
IND 2: 101,20%
IND 3: 67,21%
IND 4: 0,00%
IND 5: 98,09%
IND 6: 67,67%",,,"96,14%","02 indicadores atigiram a meta(Nível de satisfação do cliente com as soluções de TIC entregues, Indice de Satisfação de Imagem) 02 indicadores com tendência de atingir a meta(Índice de disponibilidade das soluções de TIC e, Valor do Faturamento) 01 indicador aguardando aferição(Grau de maturidade de governança e gestão) 01 indicador abaixo da meta(Percentual de pessoas com 100% de seu PDI executado) "" por ""03 indicadores atigiram a meta(Nível de satisfação do cliente com as soluções de TIC entregues, Índice de satisfação e imagem, Percentual de pessoas com 100% de seu PDI executado) 02 indicadores com tendência de atingir a meta(Índice de disponibilidade das soluções de TIC e, Valor do Faturamento) 01 indicador resultado abaixo da média (Grau de maturidade de governança e gestão)",,,"96,70%","03 indicadores atigiram a meta(Nível de satisfação do cliente com as soluções de TIC entregues, Índice de satisfação e imagem, Percentual de pessoas com 100% de seu PDI executado)
02 indicadores com tendência de atingir a meta(Índice de disponibilidade das soluções de TIC e, Valor do Faturamento)
01 indicador resultado abaixo da média (Grau de maturidade de governança e gestão)",,,"96,86%","03 indicadores atigiram a meta(Nível de satisfação do cliente com as soluções de TIC entregues, Índice de satisfação e imagem, Percentual de pessoas com 100% de seu PDI executado)
02 indicadores com tendência de atingir a meta(Índice de disponibilidade das soluções de TIC e, Valor do Faturamento)
01 indicador resultado abaixo da média (Grau de maturidade de governança e gestão)"
UGGOV,GADP,Índice de Satisfação dos serviços prestados na UGGOV,Operacional,Nota de satisfação do formulário encaminhado.,Identificar a satisfação dos usuários com os serviços da UGGOV,100%,Anual,Percentual,Maior Melhor,,,,,,,"0,00%",Indicador em planejamento,,,"0,00%",Indicador em planejamento,,,"0,00%",Indicador em planejamento,,,"0,00%",Indicador em planejamento,,,"0,00%",Indicador em planejamento,,,"0,00%",Indicador em planejamento,,,"0,00%",Indicador em planejamento,,,"0,00%",Indicador em planejamento,,,"0,00%",Indicador em planejamento,,,"0,00%",Indicador em planejamento,,,"97,83%","Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação.
1 - Orientação realizada.",,,"97,57%","Avaliação realizada utilizando o site SLIDO para envio de enquete ao final de cada orientação.
7 - Orientação realizada."
UGGOV/GEPP,GADP,Índice de execução de monitoramento do PTA,Operacional,(Nº de itens monitorados / Nº de itens monitoráveis) * 100,Que todos os itens do PTA estejam monitorados,100%,Mensal,Percentual,Maior Melhor,,Depende do sistema Monitora.,,,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora,,,"0,00%",Aguardando liberação sistema Monitora
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGPRO,GADP,Número de projetos de tic entregues,Estratégico,Quantidade de projetos de tic entregues,160,160,Anual,Unidade,Maior Melhor,Acompanhamento no portfólio de projetos estratégicos,,a quantidade de projetos entregues são contabilizados sempre no fim do mês,Ideal é ter 14 entregas por mês,14,8,"57,14%",,"14,00","7,00","50,00%",,14,7,"50,00%",,"14,00","6,00","42,86%",,14,15,"107,14%",,"14,00",,"0,00%",,,,-,,,,-,,,,-,,,,-,,,,-,indicador cancelado será priorizado para 2025 Unidade de Gestão de Apoio à Governança,,,-,indicador cancelado priorizado para 2025 Unidade de Gestão de Apoio à Governança
UGPRO,GADP,Percentual de Projetos de TIC entregues no prazo,Estratégico,(Quantidade de Projeto (Percentual dos Projetos do Portfólio Priorizados Entregues) no prazo / Quantidade Total de Projetos ) * 100,70% dos projetos,70%,Anual,Percentual,Maior Melhor,Acompanhando as entregas dos marcos dos projetos nos prazos planejados,,O percentual está sendo apurado no fim do mês,,8,5,"62,50%",,"7,00","5,00","71,43%",,7,3,"42,86%",,"6,00","6,00","100,00%",,15,11,"73,33%",,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,indicador cancelado será priorizado para 2025 Unidade de Gestão de Apoio à Governança,,,-,indicador cancelado será priorizado para 2025 Unidade de Gestão de Apoio à Governança
UGPRO,GADP,Cumprimento do plano de capacitação,Operacional,% de cumprimento do plano de capacitação em gestão de projetos ,Cumprir os 100% do planejado no plano de capacitação em gestão de projetos,100%,Anual,Percentual,Maior Melhor,Executando o plano,Implantar o service now,O plano de capacitação é previsto para operar dentro do service now,Ideal ter 01 Capacitação a cada Trimestre,,,"0,00%",Sem gestor no período,,,"0,00%",Sem gestor no período,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,-,,,,-,,,,-,,,,-,indicador cancelado será priorizado para 2025 Unidade de Gestão de Apoio à Governança,,,-,indicador cancelado será priorizado para 2025 Unidade de Gestão de Apoio à Governança
UGPRO,GADP,Quantidade de multiplicadores capacitados em gestão de projetos,Operacional,N de pessoas/multiplicadores capacitados em gestão de projetos ,Número de multiplicadores,70%,Anual,Unidade,Maior Melhor,Promovendo a capacitação,Implantar o service now,O numero de multiplicadores estará usando dentro do service now,"De Cada capacitação realizada, 70% deve ser convertido em multiplicadores",,,"0,00%",Sem gestor no período,,,"0,00%",Sem gestor no período,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,"0,00%",Capacitação serão realizadas em Agosto/24,,,-,,,,-,,,,-,,,,-,indicador cancelado será priorizado para 2025 Unidade de Gestão de Apoio à Governança,,,-,indicador cancelado será priorizado para 2025 Unidade de Gestão de Apoio à Governança
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGGDC/GEGD,DTIC,Percentual de Demandas de BI atendidas dentro do prazo,Operacional,Demandas atendidas no prazo/Total de Demandas atendidas * 100,Garantir atendimentos dentro do prazo,95%,dezembro/2023,Percentual,Maior Melhor,,"Concorrência entre demandas por ausência de processo de priorização 

Desconhecimento da estrutura de dados e das informações do sistema de origem podem provocar alterações nos prazos acordados",mensal...,100%,96%,85%,"88,54%","Total de Demandas: 9 (BI) + 5 (GEO)
Total de Demandas Atendidas no prazo acordado: 12 ",96%,86%,"89,58%","Total de Demandas: 15
Total de Demandas Atendidas no prazo acordado:  13",96%,88%,"91,15%","Total de Demandas: 16
Total de Demandas Atendidas no prazo acordado: 14",95%,92%,"96,84%",Total de Demandas: 13 Total de Demandas Atendidas no prazo acordado: 12,95%,88%,"92,11%","Total de Demandas: 16
Total de Demandas Atendidas no prazo acordado: 14",95%,86%,"90,53%","Total de Demandas: 15
Total de Demandas Atendidas no prazo acordado: 13/15",95%,80%,"84,21%","Total de Demandas: 25
Total de Demandas Atendidas no prazo acordado: 20",95%,86%,"90,53%","Total de Demandas: 15
Total de Demandas Atendidas no prazo acordado: 13/15",95%,85%,"89,47%","Total de Demandas: 20
Total de Demandas Atendidas no prazo acordado: 17",95%,92%,"96,84%",Total de Demandas: 13 Total de Demandas Atendidas no prazo acordado: 12,92%,95%,"103,26%",Total de Demandas: 14 Total de Demandas Atendidas no prazo acordado: 13,,,-,
UGGDC/GEGD,DTIC,Percentual de disponibilidade dos dados e serviços de Inteligência de Negócio e Geográfica,Operacional, (tempo total disponiveL - tempo de inatividade) * 100 / tempo total disponivel,Reduzir a inatividade dos dados e serviços de Inteligência de Negócio e Geográfica,99%,todo dia 30/31 de cada mês,Percentual,Maior Melhor,,"Migração de ETLs do SAP Data Services para o Qlik QDI

Falta de suporte do fabricante ou de terceiro nas ferramentas (SAP BO)

Ações de atualização e migração na infra ou qualquer incidente relacionado ao banco de dados e internet",mensal...,100%,99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 480h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 479,5h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 480h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 479,5h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 480h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 479,5h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 480h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 479,5h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 480h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 479,5h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",99%,99%,"100,00%","SIG-MT: 480h/480h
MTI-BI: 479,5h/480h
IG: 480h/480h
GEO-MTI: 480h/480h",,,-,
UGGDC/GEDC,DTIC,Percentual  dos incidentes de segurança recepcionados tratados,Operacional,"(Quantidade de Incidentes Tratados / Quantidade de Incidentes Ocorridos)
 * 100",Garantir a tratativa de incidentes de segurança,99%,dezembro/2023,Percentual,Maior Melhor,,Necessidade parceria externa para monitoramentos das ameças ,mensal...,100%,100%,99%,"99,00%",No mês corrente não houve nenhum incidente,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",Gerente em Licença Paternidade,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,100%,100%,"100,00%",,,,-,
