OBJETIVOS | Indicadores e Metas,Riscos Estratégicos,RESULTADO-CHAVE | INICIATIVA [REI],REI - ID,DIRETORIA,Unidade,PRAZO,MÉTRICA,SITUAÇÃO TRIMESTRE 1,SITUAÇÃO TRIMESTRE 2,SITUAÇÃO TRIMESTRE 3,SITUAÇÃO TRIMESTRE 4,SITUAÇÃO GERAL,OBSERVAÇÕES
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Disponibilizar infraestrutura de DW corporativo através da parceria,01,DTIC,UGGDC_GEGD,27/12/2024,DW corporativa disponibilizada,Aguardando Infraestrutura do DataLake,Aguardando Infraestrutura do DataLake,Aguardando Infraestrutura do DataLake,Foi aprovado o processo junto ao COTEC retornando para o CONDES deliberar,Em execução,"Infraestrutura criada, porém está desligada aguardando a liberação do produto Cloudera"
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Implantação de um datalake corporativo para abrigar informações de 2 secretarias do estado MT (repositório seguro de dados),02,DTIC,UGGDC,28/12/2024,data lake implantado,Aguardando Aquisição do Licenciamento através de TR,Aguardando Aquisição do Licenciamento através de TR,#REF!,Foi aprovado o processo junto ao COTEC retornando para o CONDES deliberar,Em execução,Processo de Aquisição em andamento
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R3_Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos,Definir e implantar processo de gerenciamento de incidentes de segurança,03,DTIC,UGGDC_GEDC,29/12/2024,processo implantado,Efetuando Levantamento de Ambiente da Infraestrutura,Efetuando Levantamento de Ambiente da Infraestrutura,Efetuando Levantamento de Ambiente da Infraestrutura,Processo Planejado,Planejada,Projeto em Andamento (Fase de Planejamento)
,,,,,,,,,,,,,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades","Garantir nivel de satisfação de 70% das demandas relacionadas a agenda estratégica de governo digital -
2-E. Serviços públicos digitais",01,DTIC,UGGDI,27/12/2024,Pesquisa de satisfação,"No 1º Trimestre o nível de satisfatação foi 70%. 

Foram 5 projetos entregues, somente 1 projeto foi avaliado:
- Jan: 1 - 70%
- Fev: 1 - sem resposta
- Mar: 3 - sem resposta","No trimestre foram encaminhadas pesquisas:
- Abr:0 - sem resposta
- Mai: 5 - sem resposta
- Jun: 6 (faltam encaminhar 3) - 80% (1 resposta)","No trimestre foram encaminhadas pesquisas:
- Jul: 1 - 70%
- Ago: 0
- Set: 3 - 80% (1 resposta)","No trimestre foram encaminhadas pesquisas:
- Out:  1 - sem resposta
- Nov: 0 - sem resposta
- Dez:  - % ",Em execução,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",Alcançar 70% das notas máximas das lojas Android e Apple do MT Cidadão,02,DTIC,UGGDI_GPGD,27/12/2024,Notas das Lojas virtuais,Status - Estruturando estratégia de monitoramento,Status - Estruturando estratégia de monitoramento - avaliar possibilidade de extrair notas por período,Status - Estruturando estratégia de monitoramento - avaliar possibilidade de extrair notas por período,Na plataforma da loja virtual da Apple não foi identificado indicador que possibilite a implementação da iniciativa,Em execução,Robson Silva Dolores Dias coloca as notas que estão nas lojas
,,,,,,,,,,,,,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",70% de satisfação dos chamados N1,01,DTIC,UGSTI_GCES,31/12/2024,Pesquisa de Satisfação,"No 1º Trimestre tivemos 167 chamados avaliados, com média de 9,84 de satisfação (0-10).","No 2º Trimestre tivemos 109 chamados avaliados, com média de 9,73 de satisfação (0-10).","No 3º Trimestre tivemos 170 chamados avaliados, com média de 8,81 de satisfação (0-10).",,Em execução,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",70% Satisfação na implantação MTI Connect,02,DTIC,UGSTI_GSIC,31/12/2024,Pesquisa de Satisfação,"Projeto em fase de instalação dos link's, não foi realizada nenhuma pesquisa de satisfação até o momento.",Projeto com 39 pontos já instalados. Aguardando retorno das pesquisas de Satisfação enviadas dia 05/06. Assim que tiver um retorno atualizo aqui a planilha.,Projeto com 314 pontos já instalados. Aguardando retorno das pesquisas de Satisfação enviadas dia 05/06. ,,Em execução,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",70% Satisfação na implantação do Workspace,03,DTIC,UGSTI_GSUP,31/12/2024,Pesquisa de Satisfação,"Foi enviado a pesquisa de Satisfação para o Cliente Pref. Cariacica, não obtemos retorno até o momento. ","Foi enviado a pesquisa de Satisfação para o Cliente Pref. Cariacica, não obtemos retorno até o momento. ","Foi enviado a pesquisa de Satisfação para o Cliente Pref. Cariacica, não obtemos retorno até o momento. Já solicitado apoio a equipe de pós venda",,Em execução,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Implantar 100% Processo de Incidentes,04,DTIC,UGSTI,30/09/2024,Processo implantado ,"Documento com as Políticas de Gerenciamento de Incidentes, concluído.  Será realizado alinhamento para início da execução.","Documento com as Políticas de Gerenciamento de Incidentes, concluído.  Será realizado uma agenda com todos os gerentes da DTIC para alinhamento e início dos fluxos defenidos na Política.",Agenda realizada com todos os gerentes DTIC. Central de Serviços N1 já atuando nos fluxos definidos.,,Concluída,"Projeto implantado, agora está na fase de monitoramento e avaliação"
,,,,,,,,,,,,,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Implantação Rede Core SDN,01,DTIC,UGITI_GRCO,31/12/2024,Rede Implantada,Aguardando a Finalização da Assinatura do Contrato para emitir OS. atraso de 3 meses no cronograma inicial,"Assinado Contrato, emitido OS para o fornecedor iniciar as ativiades; Projeto na fase de planejamento  e aguardando entrega dos equipamentos","Realizada a Instalação Inicial dos Equipamentos 
Inciado o planejamento da topologia lógica da solução e migração",,Em execução,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Implanção e Operacionalização do Processo de Gestão de Capacidades,02,DTIC,UGITI,31/12/2024,Processo implantado,Em fase de levantamento e classificação,Suspenso,Suspenso,,Planejada,"Ação voltou para planejada porque está paralisada, devido a outras demandas."
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Prover Retrofit do DC,03,DTIC,UGITI_GPAC,31/12/2024,Retrofit Executado,"Processo de contratação de Engenheiro para elaboração do projeto, concluída, aguardando UGACO finalizar tramites administrativos para assinatura de contrato","Contratação de empresa especializada realizado, aberto OS para elaboração dos projetos de Retrofit",Empresa entregou documentos do projeto de Retrofit para validação e aprovação; Apresentado as especificações e necessidades de adequação do espaço do DC,,Em execução,Iniciativa dependente da realização do Aditivo Contratual
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Implantação Nuvem Oracle at Customer,04,DTIC,UGITI_GABD,23/07/2024,Nuvem Implantada,"Execução iniciada efetivamente em 20/02/2024; Migrações iniciadas, previsão de encerrar migração em Maio/2024","Migrações Finalizada, em fase de descomissionamento da Nuvem GEN1","Implantação finalizada; Aguardando Moving dos Equipamentos do Site secundário para Sefaz, programado para 19/10/2024",Implantada com redundancia no site da SEFAZ,Concluída,
,,,,,,,,,,,,,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",70% dos projetos do Acordo de Resultados Detran 2024 entregues no prazo.,01,DTIC,UGSDG_GSPT,27/12/2024,Acordo estabelecido,100%,100%,100%,100%,Em execução,Monitoramento trimestral
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",70% Projetos entregues no prazo acordado.,02,DTIC,UGSDG_GCOT,27/12/2024,Projetos priorizado,100%,100%,100%,100%,Em execução,Monitoramento trimestral
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",70% Projetos do SigaDoc entregues no prazo acordado.,03,DTIC,UGSDG_GFTG,27/12/2024,Projetos priorizado,100%,100%,"- Não há projetos planejados para o terceiro trimestre, somente para o quarto",100%,Em execução,Monitoramento trimestral
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",70% das Releases do Produtor entregues no prazo acordado.,04,DTIC,UGSDG_GAOI,27/12/2024,Release,30%,50%,67%,100%,Em execução,Monitoramento trimestral
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",70% das Releases do Sistema de Gestão de Familias entregues no prazo acordado.,05,DTIC,UGSDG_GPSE,27/12/2024,Release,100%,100%,100%,100%,Em execução,Monitoramento trimestral
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",70% de satisfação dos clientes referente as entregas realizadas,06,DTIC,UGSDG,27/12/2024,Pesquisa de Satisfação,"9,33","8,83","7,25",9,Em execução,Monitoramento trimestral
,,,,,,,,,,,,,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Promover a implementação de testes unitários com pelo menos 80% de cobertura em 5 projetos,01,DTIC,UGARQ,01/06/2024,Projeto com teste implantado,Implantado em 3 projetos,"12 projetos já estão implantados com algum nível de teste unitário, tendo 6 já com percentual satisfatório.",7 projetos com cobertura maior que 80% outros 11 entre 30% e 80%,,Concluída,Objetivo Concluído
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Promover a implantação de testes de integração em pelo menos 2 projetos,02,DTIC,UGARQ,01/09/2024,Projeto com teste implantado,Ainda em fase de definição das ferramentas,"O sistema de teste de integração Locust está implantado, estamos em fase de implantação nos projetos. ",Testes realizados nos projetos da rematrícula e do processo seletivo,,Concluída,Objetivo Concluído
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Promover a implantação de testes fim a fim em pelo menos 2 sistemas,03,DTIC,UGARQ,31/12/2024,Projeto com teste implantado,Ainda em fase de definição das ferramentas,O sistema playwright será utilizado para testes fim a fim. já tem um projeto em implantação,"Implantado playwright no projeto veículo-api e detox e2e no projeto mt cidadão, o playwright está em implantação nos novos templates para ser utilizado como padrão nos novos projetos",,Concluída,Objetivo Concluído
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Implantar uma ferramenta para automação de deploy e promover a utilização em pelo menos 2 projetos,04,DTIC,UGARQ_GIAP,01/06/2024,Projeto com deploy automatizado,Finalizando a implantação da ferramenta,"A ferramenta Jenkins foi implantada, estamos em conversa com a UGITI para implantação em algum deploy","Os deploys estão sendo automatizados pelo gitlab CI, atualmente são executadas aproximadamente 1300 pipelines por mês em 297 projetos",,Concluída,Objetivo Concluído
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R1_Aperfeiçoar os mecanismos de gestão e controle com ferramentas automatizadas na área finalística,Evoluir o xVia para versão 7.X utilizando em kubernetes,05,DTIC,UGARQ_GASI,31/08/2024,Servidores Migrados,Finalizando o deploy da nova versão,"Ainda em fase de configuração e deploy da versão, o projeto foi despriorizado para entrega do xVia pros clientes MTPar, INDEA e SECEL",Foi implantada a versão 7.4.0 e está em uso atualmente no servidor seguro da MTI no GKE,,Concluída,Objetivo Concluído
,,,,,,,,,,,,,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,Objetivo 1: R2_Adotar intensivamente o ServiceNow com priorização na área finalística,100 % das solicitações e demandas do ServiceNow respondidas no prazo,01,DIRC,UGVEN,20/12/2024,solicitações atendidas em 5 dias,70%,70%,70%,,Em execução,"Gerir as solicitações e demandas dos clientes
Atendimento/acompanhamento ServiceNow e SIGDOC no prazo"
"Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Índice de satisfação | 8,3",N.S.A.,Realizar no mínimo uma visita presencial com o superintendente ou coordenador de TI do órgão ,02,DIRC,UGVEN,20/12/2024,12 reuniões com os clientes realizadas,50%,60%,60%,,Em execução,Realizar no minimo uma reunião mensal (fisica) com os clientes
Objetivo 2: Elevar a receita de faturamento | Valor do Faturamento (R$ em Milhões) | 80,Objetivo 2: R3_Aperfeiçoar o modelo de contratação dos serviços da MTI ,"Obter o parecer referencial da PGE
Disponibilizar o Kit contratação para clientes",03,DIRC,UGVEN,31/07/2024,"Parecer referencial disponibilizado
Kit contratação disponibilizado",10%,15%,15%,,Em execução,"Realizar reuniões semanais de acompanhamento de contratos com UNUJIR e GCTO
00 % dos contratos e aditivos assinados até 10 dias na MTI
Automatizar o processo de faturamento"
Objetivo 2: Elevar a receita de faturamento | Valor do Faturamento (R$ em Milhões) | 80,Objetivo 2: R1_Implementar um novo modelo de gestão comercial e de relacionamento com o cliente,100% do processo de faturamento automatizado (Infocenter e Phothes automatizados e integrados),04,DIRC,UGVEN,31/07/2024,Processo automatizado,80%,80%,80%,,Em execução,Automatizar o processo de faturamento
Objetivo 2: Elevar a receita de faturamento | Valor do Faturamento (R$ em Milhões) | 80,Objetivo 2: R4b_Plano anual de vendas por vertical e alinhado ao plano de negócios e com o parceiro,"Identificar/disponibilizar os serviços mais rentáveis e viáveis de comercialização alinhado com as estratégias do governo
",05,DIRC,UGVEN,31/10/2024,Serviços rentáveis e viáveis disponibilizados,10%,10%,10%,,Em execução,100% dos serviços prestados com contrato assinado
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 4 R1_Aperfeiçoar o processo de elaboração e monitoramento do PDI. ,Realizar no mínimo 6 treinamentos no ano para a equipe,06,DIRC,UGVEN,29/11/2024,Reuniões e treinamentos realizados,"0,00","3,00",3,,Em execução,"Realizar no mínimo 6 treinamentos no ano para a equipe
Promover 4 reuniões individuais com colaboradores da equipe"
,,,,,,,,,,,,,
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",Realizar 03 Parcerias estratégicas,01,DIRC,UGENP_GPIN,30/12/2024,Nº de parcerias realizadas,0,1,3,0,Concluída,MTI NOW;                                     MTI DEV SEC-Gov;      MTI.IA;                                MTI DATA SECURITY
Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Nível de satisfação do cliente com as soluções(1) de TIC entregues | 70%,"Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades",Fomentar 01 parceria com startups,02,DIRC,UGENP_GPIN,30/12/2024,Nº de startups fomentadas,0,0,1,0,Concluída,HLABS - Hyper Reports
"Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Índice de satisfação | 8,3","Objetivo 1: R3_Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades","Inscrição em 03 prêmios de governo digital, anualmente",03,DIRC,UGENP_GPIN,30/12/2024,Nº de prêmios inscritos,0,2,0,0,Em execução,SECOP / RJ e CONIP
Objetivo 2: Elevar a receita de faturamento | Valor do Faturamento (R$ em Milhões) | 80,Objetivo 2: R4a_Monitorar a execução de todo o processo das parcerias estratégicas em conjunto com os parceiros,"Monitorar as atividades externas com os parceiros, anualmente (plano anual de parceria)",04,DIRC,UGENP_GPIN,30/12/2024,Relatório das atividades externas das parcerias estratégicas,0,0,2,0,Concluída,MINDSEC - -SP    SECOP-RJ
Objetivo 2: Elevar a receita de faturamento | Valor do Faturamento (R$ em Milhões) | 80,Objetivo 2: R3_Aperfeiçoar o modelo de contratação dos serviços da MTI ,"Patrocinar 02 eventos de inovação, anualmente",05,DIRC,UGENP,30/12/2024,Nº de eventos patrocinados,0,0,1,1,Em execução,SIMT 2024 / CONED 2024 (Conse. Nac. dos Secretários Educação)
Objetivo 2: Elevar a receita de faturamento | Valor do Faturamento (R$ em Milhões) | 80,N.S.A.,01 Relatório anual de Novos Negócios para MTI,06,DIRC,UGENP,30/12/2024,Relatórios de prospecção de Novos Negócios no mercado,0,0,0,,Em execução,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 4 R3_Avaliar os resultados efetivos do atual método adotado visando o foco em resultados,"Participar  em 02 eventos de tecnologia, inovação e divulgar produtos da MTI",07,DIRC,UGENP_GPIN,30/12/2024,Nº de eventos participados,1,0,1,0,Concluída,SECOP / RJ e CONIP
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 4 R2_Manter gestão à vista com visões gerenciais ,Registrar novas ideias / inovação,08,DIRC,UGENP,30/12/2024,Nº de ideias recebidas nos canais de comunicação da MTI,0,0,1,0,Em execução,MTI TRAINEE
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,Objetivo 3 R4_Sensibilização/motivação das equipes,Realizar 12 Palestras (Tech Talk e Café Tech),09,DIRC,UGENP_GPIN,30/12/2024,Nº de Tech Talk e Café Tech realizados,1,3,2,1,Em execução,
,,,,,,,,,,,,,
"Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Índice de satisfação | 8,3",N.S.A.,Realizar 24 visitas presenciais aos clientes;,01,DIRC,UGEPV,30/12/2024,n de eventos realizados,20,74,74,,Em execução,
Objetivo 3: Melhorar a qualidade das entregas | Grau de maturidade de governança e gestão | Estágio1 68%,N.S.A.,Realizar 24 agendas por videoconferencia para acompanhamento da satisfação do cliente quanto as entregas realizadas,02,DIRC,UGEPV,30/12/2024,n de eventos realizados,16,50,40,,Em execução,
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",Objetivo 4 R3_Avaliar os resultados efetivos do atual método adotado visando o foco em resultados,Realização de 04 apresentações internas acerca do conceito sucesso do cliente,03,DIRC,UGEPV,30/12/2024,n de eventos realizados,0,0,0,,Planejada,
"Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional | Índice de satisfação | 8,3",N.S.A.,Realização de 08 eventos direcionados aos interesses e necessidades  dos clientes,04,DIRC,UGEPV,30/12/0204,n de eventos realizados,0,2,1,,Em execução,
,,,,,,,,,,,,,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R4_Sensibilização/motivação das equipes,Capacitação da area demante na instrução processual,01,DAFI,UGACO_GAQS,29/02/2024,Total de unidades adminsitrativas  capacitadas,em execução,Realizado interação entre as Equipes GCTO e GAQS incentivando os resultados alcançados,Realizado interação entre as Equipes GCTO e GAQS incentivando os resultados alcançados,,Em execução,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Compartilhamento dos Checklist disponiveis,02,DAFI,UGACO,01/07/2024,numero de cheklist compartilhado,em execução,"Documentos atualizados e disponiveis na Pasta ""Escritorio de Processos"" na rede interna da MTI","Documentos atualizados e disponiveis na Pasta ""Escritorio de Processos"" na rede interna da MTI",,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Atualização dos Checklist de instrução processual,03,DAFI,UGACO_GCTO,01/07/2024,numero de cheklist atualizados,em execução,Checklist atualizado e disponibilizado,Checklist atualizado e disponibilizado,,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Atualização dos Checklist de instrução processual,04,DAFI,UGACO_GAQS,01/07/2024,numero de cheklist atualizados,em execução,Checklist atualizado e disponibilizado,Checklist atualizado e disponibilizado,,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,"Definição da Prioridades processuais e divulgação da interferencias externas (Condes, Seplag e PGE)",05,DAFI,UGACO,29/02/2024,numero de processos da MTI,em execução,"Monitorado pela reunião semanal de ""Cronograma da Aquisições""","Monitorado pela reunião semanal de ""Cronograma da Aquisições""",,Em execução,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Atualizar o mapeamento dos processos de aquisição e mapear as modalidades ainda não mapeadas,06,DAFI,UGACO_GAQS,29/02/2024,apresentar o fluxo elaborado,em execução,Mapeamento Atualizado,Mapeamento Atualizado,,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Elaborar o mapeamento dos processos de contratos e os termos aditvos /apostilamento/rescição,07,DAFI,UGACO_GCTO,31/03/2024,apresentar o fluxo elaborado,em execução,Mapeamentos concluidos,Mapeamentos concluidos,,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,Padronização das minutas de editais,08,DAFI,UGACO_GAQS,31/03/2024,apresentar as  minutas,em execução,Minuta de edital padronizado e validado pelo juridico,MInutas padronizadas e validadas pelo juridico,,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",N.S.A.,"Padronização das minutas de contratos , aditivos e apostilamento",09,DAFI,UGACO_GCTO,31/03/2024,apresentar as  minutas,em execução,MInutas padronizadas e validadas pelo juridico,MInutas padronizadas e validadas pelo juridico,,Concluída,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R2_Aperfeiçoar o plano anual de contratação (com prioridades para assuntos críticos de continuidade de negócio),Licitações dentro do prazo estabelecido no Plano Anual de Aquisições,10,DAFI,UGACO,31/12/2024,Numero de Licitações ocorridas no prazo,em execução,"Monitorado pela reunião semanal de ""Cronograma da Aquisições""","Monitorado pela reunião semanal de ""Cronograma da Aquisições""",,Em execução,
,,,,,,,,,,,,,
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R4_Sensibilização/motivação das equipes,PROPOR A POLITICA DE GESTÃO DE PESSOAS,01,DAFI,UGPES,30/06/2024,POLITICA ELABORADA,"
0% DE EXECUÇÃO

Priorizada para ser realizada até  31/12/2025
","
0% DE EXECUÇÃO

Priorizada para ser realizada até  31/12/2025
","
50% DE EXECUÇÃO


Os documentos estão sendo escrito por etapas.


A mioria estão publicados na  INTRANET aba Gestão de Pessoas

INTRANET



","
50% DE EXECUÇÃO

MINUTA DA POLITICA DE GESTÃO DE PESSOAS

A minuta da Política de Gestão de Pessoas está elaborada, porém precisa de alguns ajustes e, posteriormente, enviada à DIREX para aprovação. Após essa etapa, deverá ser submetida à apreciação e aprovação do Conselho de Administração da MTI.



",Em execução,"META PARA 2024
50%"
"Objetivo 3: Melhorar a qualidade das entregas | Índice de disponibilidade das soluções de TIC | 99,80%",Objetivo 3 R4_Sensibilização/motivação das equipes,PROPOR O NOVO REGULAMENTO DE AVALIAÇÃO DE DESEMPENHO,02,DAFI,UGPES,30/06/2024,REGULAMENTO DE AVALIAÇÃO DE DESEMPENHO ELABORADO,"0% DE EXECUÇÃO


Priorizada para ser realizada até  31/12/2025","0% DE EXECUÇÃO


Priorizada para ser realizada até  31/12/2025","0% DE EXECUÇÃO


Priorizada para ser realizada até  31/12/2025","99% DE EXECUÇÃO


O documento foi elaborado pela Unidade de Gestão de Pessoas e esta aguardando validação da SEPLAG para posterior apresentação em DIREX 


IN15- MINUTA DA IN DE AVALIAÇÃO DE DESEMPENHO MTI IIN 15.docx",Em execução,"META PARA 2024
100%



"
"Objetivo 4: Incentivar uma transformação cultural motivando as pessoas para colaboração, inovação e foco em resultados | Percentual de pessoas com 100% de seu PDI executado | 70%",N.S.A.,REVISAR O PROGRAMA DE DESENVOLVIMENTO DE GESTÃO POR COMPETÊNCIAS,03,DAFI,UGPES,31/07/2024,PROGRAMA  DE GESTÃO POR COMPETÊNCIAS REVISADO,"0% DE EXECUÇÃO


Priorizada para ser realizada até  31/12/2024","0% DE EXECUÇÃO


Priorizada para ser realizada até  31/12/2024","30% DE EXECUÇÃO


Priorizada para ser realizada até  31/12/2024","

100% DE EXECUÇÃO


Priorizada para ser realizada até   31/12/2024

",Concluída,"META PARA 2024
100%"
